cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2004-2088,5.0,MEDIUM,2004-02-12T05:00:00.000,Sophos Anti-Virus 3.78 allows remote attackers to bypass virus scanning by using a qmail generated Delivery Status Notification (DSN) where the original email is not included in the bounce message.,0.06892,0.93469,False,,,,,
CVE-2004-0552,7.5,HIGH,2004-11-03T05:00:00.000,"Sophos Small Business Suite 1.00 on Windows does not properly handle files whose names contain reserved MS-DOS device names such as (1) LPT1, (2) COM1, (3) AUX, (4) CON, or (5) PRN, which can allow malicious code to bypass detection when it is installed, copied, or executed.",0.23874,0.97624,False,,,,,
CVE-2004-2075,5.0,MEDIUM,2004-12-31T05:00:00.000,Sophos Anti-Virus 3.78 allows remote attackers to cause a denial of service (infinite loop) via a MIME header that is not properly terminated.,0.01752,0.75859,False,,,,,
CVE-2004-0937,7.5,HIGH,2005-02-09T05:00:00.000,"Sophos Anti-Virus before 3.87.0, and Sophos Anti-Virus for Windows 95, 98, and Me before 3.88.0, allows remote attackers to bypass antivirus protection via a compressed file with both local and global headers set to zero, which does not prevent the compressed file from being opened on a target system.",0.14785,0.96372,False,,,,,
CVE-2005-1551,5.1,MEDIUM,2005-05-14T04:00:00.000,"Sophos Anti-Virus 3.93 does not check downloaded files for viruses when they have only been written, which creates a race condition and may allow remote attackers to bypass virus protection if the file is executed before the antivirus starts on system reboot.",0.04291,0.9024,False,,,,,
CVE-2005-1530,5.0,MEDIUM,2005-07-19T04:00:00.000,"Sophos Anti-Virus 5.0.1, with ""Scan inside archive files"" enabled, allows remote attackers to cause a denial of service (CPU consumption by infinite loop) via a Bzip2 archive with a large 'Extra field length' value.",0.06163,0.92825,False,,,,,
CVE-2005-2768,7.5,HIGH,2005-09-02T23:03:00.000,"Heap-based buffer overflow in the Sophos Antivirus Library, as used by Sophos Antivirus, PureMessage, MailMonitor, and other products, allows remote attackers to execute arbitrary code via a Visio file with a crafted sub record length.",0.12696,0.95901,False,,,,,
CVE-2005-3216,5.1,MEDIUM,2005-10-14T10:02:00.000,"Multiple interpretation error in unspecified versions of Sophos Antivirus allows remote attackers to bypass virus detection via a malicious executable in a specially crafted RAR file with malformed central and local headers, which can still be opened by products such as Winrar and PowerZip, even though they are rejected as corrupted by Winzip and BitZipper.",0.04598,0.90822,False,,,,,
CVE-2005-3382,5.0,MEDIUM,2005-10-30T14:34:00.000,"Multiple interpretation error in Sophos 3.91 with the 2.28.4 engine allows remote attackers to bypass virus scanning via a file such as BAT, HTML, and EML with an ""MZ"" magic byte sequence which is normally associated with EXE, which causes the file to be treated as a safe type that could still be executed as a dangerous file type by applications on the end system, as demonstrated by a ""triple headed"" program that contains EXE, EML, and HTML content, aka the ""magic byte bug.""",0.04488,0.90618,False,,,,,
CVE-2005-4680,5.0,MEDIUM,2005-12-31T05:00:00.000,"Sophos Anti-Virus before 4.02, 4.5.x before 4.5.9, 4.6.x before 4.6.9, and 5.x before 5.1.4 allow remote attackers to hide arbitrary files and data via crafted ARJ archives, which are not properly scanned.",0.08486,0.94531,False,,,,,
CVE-2006-0994,7.5,HIGH,2006-05-10T10:02:00.000,"Multiple Sophos Anti-Virus products, including Anti-Virus for Windows 5.x before 5.2.1 and 4.x before 4.05, when cabinet file inspection is enabled, allows remote attackers to execute arbitrary code via a CAB file with ""invalid folder count values,"" which leads to heap corruption.",0.21634,0.97407,False,,,,,
CVE-2006-4839,5.0,MEDIUM,2006-11-01T15:07:00.000,Sophos Anti-Virus 5.1 allows remote attackers to cause a denial of service (memory consumption) via a file that is compressed with Petite and contains a large number of sections.,0.03019,0.86232,False,,,,,
CVE-2006-5645,5.0,MEDIUM,2006-11-01T15:07:00.000,"Sophos Anti-Virus and Endpoint Security before 6.0.5, Anti-Virus for Linux before 5.0.10, and other platforms before 4.11, when ""Enabled scanning of archives"" is set, allows remote attackers to cause a denial of service (infinite loop) via a malformed RAR archive with an Archive Header section with the head_size and pack_size fields set to zero.",0.17508,0.96858,False,,,,,
CVE-2006-5646,5.0,MEDIUM,2006-11-01T15:07:00.000,"Heap-based buffer overflow in Sophos Anti-Virus and Endpoint Security before 6.0.5, Anti-Virus for Linux before 5.0.10, and other platforms before 4.11, when archive scanning is enabled, allows remote attackers to trigger a denial of service (memory corruption) via a CHM file with an LZX decompression header that specifies a Window_size of 0.",0.17554,0.96862,False,,,,,
CVE-2006-5647,6.4,MEDIUM,2006-11-01T15:07:00.000,"Sophos Anti-Virus and Endpoint Security before 6.0.5, Anti-Virus for Linux before 5.0.10, and other platforms before 4.11 allows remote attackers to cause a denial of service (memory corruption) and possibly execute arbitrary code via a malformed CHM file with a large name length in the CHM chunk header, aka ""CHM name length memory consumption vulnerability.""",0.20706,0.97308,False,,,,,
CVE-2006-6335,10.0,HIGH,2006-12-12T20:28:00.000,"Multiple buffer overflows in Sophos Anti-Virus scanning engine before 2.40 allow remote attackers to execute arbitrary code via (1) a SIT archive with a long filename that is not null-terminated, which triggers a heap-based overflow in veex.dll due to improper length calculation, and (2) a CPIO archive, with a long filename that is not null-terminated, which triggers a stack-based overflow in veex.dll.",0.12304,0.95826,False,,,,,
CVE-2007-4577,7.8,HIGH,2007-08-28T18:17:00.000,"Sophos Anti-Virus for Unix/Linux before 2.48.0 allows remote attackers to cause a denial of service (infinite loop) via a malformed BZip file that results in the creation of multiple Engine temporary files (aka a ""BZip bomb"").",0.0553,0.92101,False,,,,,
CVE-2007-4578,6.8,MEDIUM,2007-08-28T18:17:00.000,"Sophos Anti-Virus for Windows and for Unix/Linux before 2.48.0 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a crafted UPX packed file, resulting from an ""integer cast around"".  NOTE: as of 20070828, the vendor says this is a DoS and the researcher says this allows code execution, but the researcher is reliable.",0.07296,0.93801,False,,,,,
CVE-2007-4512,4.3,MEDIUM,2007-09-10T17:17:00.000,Cross-site scripting (XSS) vulnerability in Sophos Anti-Virus for Windows 6.x before 6.5.8 and 7.x before 7.0.1 allows remote attackers to inject arbitrary web script or HTML via an archive with a file that matches a virus signature and has a crafted filename that is not properly handled by the print function in SavMain.exe.,0.04759,0.91091,False,,,,,
