cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2004-1559,4.3,MEDIUM,2004-12-31T05:00:00.000,"Multiple cross-site scripting (XSS) vulnerabilities in Wordpress 1.2 allow remote attackers to inject arbitrary web script or HTML via the (1) redirect_to, text, popupurl, or popuptitle parameters to wp-login.php, (2) redirect_url parameter to admin-header.php, (3) popuptitle, popupurl, content, or post_title parameters to bookmarklet.php, (4) cat_ID parameter to categories.php, (5) s parameter to edit.php, or (6) s or mode parameter to edit-comments.php.",0.06465,0.93111,False,,,,,
CVE-2004-1584,5.0,MEDIUM,2004-12-31T05:00:00.000,CRLF injection vulnerability in wp-login.php in WordPress 1.2 allows remote attackers to perform HTTP Response Splitting attacks to modify expected HTML content from the server via the text parameter.,0.11226,0.95566,False,,,,,
CVE-2005-1102,6.8,MEDIUM,2005-05-02T04:00:00.000,Multiple cross-site scripting (XSS) vulnerabilities in template-functions-post.php in WordPress 1.5 and earlier allow remote attackers to execute arbitrary commands via the (1) content or (2) title of the post.,0.02863,0.85517,False,,,,,
CVE-2005-1687,7.5,HIGH,2005-05-20T04:00:00.000,SQL injection vulnerability in wp-trackback.php in Wordpress 1.5 and earlier allows remote attackers to execute arbitrary SQL commands via the tb_id parameter.,0.02299,0.81745,False,,,,,
CVE-2005-1688,5.3,MEDIUM,2005-05-20T04:00:00.000,"Wordpress 1.5 and earlier allows remote attackers to obtain sensitive information via a direct request to files in (1) wp-content/themes/, (2) wp-includes/, or (3) wp-admin/, which reveal the path in an error message.",0.01906,0.77888,False,,,,,
CVE-2005-1810,7.5,HIGH,2005-06-01T04:00:00.000,"SQL injection vulnerability in template-functions-category.php in WordPress 1.5.1 allows remote attackers to execute arbitrary SQL commands via the $cat_ID variable, as demonstrated using the cat parameter to index.php.",0.03139,0.86732,False,,,,,
CVE-2005-1921,7.5,HIGH,2005-07-05T04:00:00.000,"Eval injection vulnerability in PEAR XML_RPC 1.3.0 and earlier (aka XML-RPC or xmlrpc) and PHPXMLRPC (aka XML-RPC For PHP or php-xmlrpc) 1.1 and earlier, as used in products such as (1) WordPress, (2) Serendipity, (3) Drupal, (4) egroupware, (5) MailWatch, (6) TikiWiki, (7) phpWebSite, (8) Ampache, and others, allows remote attackers to execute arbitrary PHP code via an XML file, which is not properly sanitized before being used in an eval statement.",0.79071,0.99562,False,,,,,
CVE-2005-2107,4.3,MEDIUM,2005-07-05T04:00:00.000,Multiple cross-site scripting (XSS) vulnerabilities in post.php in WordPress 1.5.1.2 and earlier allow remote attackers to inject arbitrary web script or HTML via the (1) p or (2) comment parameter.,0.02559,0.8367,False,,,,,
CVE-2005-2108,7.5,HIGH,2005-07-05T04:00:00.000,"SQL injection vulnerability in XMLRPC server in WordPress 1.5.1.2 and earlier allows remote attackers to execute arbitrary SQL commands via input that is not filtered in the HTTP_RAW_POST_DATA variable, which stores the data in an XML file.",0.0932,0.9492,False,,,,,
CVE-2005-2109,5.0,MEDIUM,2005-07-05T04:00:00.000,"wp-login.php in WordPress 1.5.1.2 and earlier allows remote attackers to change the content of the forgotten password e-mail message via the message variable, which is not initialized before use.",0.02578,0.83806,False,,,,,
