cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2015-4093,4.3,MEDIUM,2015-06-15T15:59:01.460,Cross-site scripting (XSS) vulnerability in Elasticsearch Kibana 4.x before 4.0.3 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,0.02043,0.79434,False,,,,,
CVE-2015-8131,6.8,MEDIUM,2015-12-07T20:59:16.393,Cross-site request forgery (CSRF) vulnerability in Elasticsearch Kibana before 4.1.3 and 4.2.x before 4.2.1 allows remote attackers to hijack the authentication of unspecified victims via unknown vectors.,0.0088,0.55917,False,,,,,
CVE-2017-8439,6.1,MEDIUM,2017-06-05T14:29:00.310,Kibana version 5.4.0 was affected by a Cross Site Scripting (XSS) bug in the Time Series Visual Builder. This bug could allow an attacker to obtain sensitive information from Kibana users.,0.0099,0.59426,False,,,,,
CVE-2017-8440,6.1,MEDIUM,2017-06-05T14:29:00.357,"Starting in version 5.3.0, Kibana had a cross-site scripting (XSS) vulnerability in the Discover page that could allow an attacker to obtain sensitive information from or perform destructive actions on behalf of other Kibana users.",0.0099,0.59426,False,,,,,
CVE-2015-9056,6.1,MEDIUM,2017-06-16T21:29:00.197,Kibana versions prior to 4.1.3 and 4.2.1 are vulnerable to a XSS attack.,0.0083,0.54338,False,,,,,
CVE-2016-1000218,8.8,HIGH,2017-06-16T21:29:00.243,Kibana Reporting plugin version 2.4.0 is vulnerable to a CSRF vulnerability that could allow an attacker to generate superfluous reports whenever an authenticated Kibana user navigates to a specially-crafted page.,0.00815,0.53869,False,,,,,
CVE-2016-1000219,7.5,HIGH,2017-06-16T21:29:00.273,"Kibana before 4.5.4 and 4.1.11 when a custom output is configured for logging in, cookies and authorization headers could be written to the log files. This information could be used to hijack sessions of other users when using Kibana behind some form of authentication such as Shield.",0.02039,0.79379,False,,,,,
CVE-2016-1000220,6.1,MEDIUM,2017-06-16T21:29:00.307,Kibana before 4.5.4 and 4.1.11 are vulnerable to an XSS attack that would allow an attacker to execute arbitrary JavaScript in users' browsers.,0.0115,0.64047,False,,,,,
CVE-2016-10364,6.5,MEDIUM,2017-06-16T21:29:00.477,"With X-Pack installed, Kibana versions 5.0.0 and 5.0.1 were not properly authenticating requests to advanced settings and the short URL service, any authenticated user could make requests to those services regardless of their own permissions.",0.00986,0.59291,False,,,,,
CVE-2016-10365,6.1,MEDIUM,2017-06-16T21:29:00.523,Kibana versions before 4.6.3 and 5.0.1 have an open redirect vulnerability that would enable an attacker to craft a link in the Kibana domain that redirects to an arbitrary website.,0.01024,0.60449,False,,,,,
CVE-2016-10366,6.1,MEDIUM,2017-06-16T21:29:00.557,Kibana versions after and including 4.3 and before 4.6.2 are vulnerable to a cross-site scripting (XSS) attack.,0.0094,0.57821,False,,,,,
CVE-2017-8451,6.1,MEDIUM,2017-06-16T21:29:00.650,"With X-Pack installed, Kibana versions before 5.3.1 have an open redirect vulnerability on the login page that would enable an attacker to craft a link that redirects to an arbitrary website.",0.00904,0.56622,False,,,,,
CVE-2017-8452,7.5,HIGH,2017-06-16T21:29:00.680,"Kibana versions prior to 5.2.1 configured for SSL client access, file descriptors will fail to be cleaned up after certain requests and will accumulate over time until the process crashes.",0.01383,0.69721,False,,,,,
CVE-2017-8443,6.5,MEDIUM,2017-06-30T19:29:00.180,"In Kibana X-Pack security versions prior to 5.4.3 if a Kibana user opens a crafted Kibana URL the result could be a redirect to an improperly initialized Kibana login screen. If the user enters credentials on this screen, the credentials will appear in the URL bar. The credentials could then be viewed by untrusted parties or logged into the Kibana access logs.",0.01104,0.62822,False,,,,,
CVE-2017-11479,6.1,MEDIUM,2017-09-29T01:34:48.530,Kibana versions prior to 5.6.1 had a cross-site scripting (XSS) vulnerability in Timelion that could allow an attacker to obtain sensitive information from or perform destructive actions on behalf of other Kibana users.,0.01071,0.61873,False,,,,,
CVE-2017-11481,6.1,MEDIUM,2017-12-08T18:29:00.240,Kibana versions prior to 6.0.1 and 5.6.5 had a cross-site scripting (XSS) vulnerability via URL fields that could allow an attacker to obtain sensitive information from or perform destructive actions on behalf of other Kibana users.,0.00837,0.54562,False,,,,,
CVE-2017-11482,6.1,MEDIUM,2017-12-08T18:29:00.273,"The Kibana fix for CVE-2017-8451 was found to be incomplete. With X-Pack installed, Kibana versions before 6.0.1 and 5.6.5 have an open redirect vulnerability on the login page that would enable an attacker to craft a link that redirects to an arbitrary website.",0.00738,0.51337,False,,,,,
CVE-2018-3818,6.1,MEDIUM,2018-03-30T20:29:00.287,Kibana versions 5.1.1 to 6.1.2 and 5.6.6 had a cross-site scripting (XSS) vulnerability via the colored fields formatter that could allow an attacker to obtain sensitive information from or perform destructive actions on behalf of other Kibana users.,0.01049,0.61206,False,,,,,
CVE-2018-3819,6.1,MEDIUM,2018-03-30T20:29:00.337,"The fix in Kibana for ESA-2017-23 was incomplete. With X-Pack security enabled, Kibana versions before 6.1.3 and 5.6.7 have an open redirect vulnerability on the login page that would enable an attacker to craft a link that redirects to an arbitrary website.",0.00852,0.55027,False,,,,,
CVE-2018-3820,6.1,MEDIUM,2018-03-30T20:29:00.383,Kibana versions after 6.1.0 and before 6.1.3 had a cross-site scripting (XSS) vulnerability in labs visualizations that could allow an attacker to obtain sensitive information from or perform destructive actions on behalf of other Kibana users.,0.00842,0.54688,False,,,,,
CVE-2018-3821,6.1,MEDIUM,2018-03-30T20:29:00.443,Kibana versions after 5.1.1 and before 5.6.7 and 6.1.3 had a cross-site scripting (XSS) vulnerability in the tag cloud visualization that could allow an attacker to obtain sensitive information from or perform destructive actions on behalf of other Kibana users.,0.00905,0.5665,False,,,,,
CVE-2018-3830,6.1,MEDIUM,2018-09-19T19:29:01.203,Kibana versions 5.3.0 to 6.4.1 had a cross-site scripting (XSS) vulnerability via the source field formatter that could allow an attacker to obtain sensitive information from or perform destructive actions on behalf of other Kibana users.,0.01628,0.74032,False,,,,,
CVE-2018-17245,9.8,CRITICAL,2018-12-20T22:29:00.303,"Kibana versions 4.0 to 4.6, 5.0 to 5.6.12, and 6.0 to 6.4.2 contain an error in the way authorization credentials are used when generating PDF reports. If a report requests external resources plaintext credentials are included in the HTTP request that could be recovered by an external resource provider.",0.01523,0.72361,False,,,,,
CVE-2018-17246,9.8,CRITICAL,2018-12-20T22:29:00.367,Kibana versions before 6.4.3 and 5.6.13 contain an arbitrary file inclusion flaw in the Console plugin. An attacker with access to the Kibana Console API could send a request that will attempt to execute javascript code. This could possibly lead to an attacker executing arbitrary commands with permissions of the Kibana process on the host system.,0.82251,0.99627,False,,,,,
CVE-2019-7608,6.1,MEDIUM,2019-03-25T19:29:02.100,Kibana versions before 5.6.15 and 6.6.1 had a cross-site scripting (XSS) vulnerability that could allow an attacker to obtain sensitive information from or perform destructive actions on behalf of other Kibana users.,0.01338,0.6873,False,,,,,
CVE-2019-7609,10.0,CRITICAL,2019-03-25T19:29:02.147,Kibana versions before 5.6.15 and 6.6.1 contain an arbitrary code execution flaw in the Timelion visualizer. An attacker with access to the Timelion application could send a request that will attempt to execute javascript code. This could possibly lead to an attacker executing arbitrary commands with permissions of the Kibana process on the host system.,0.95338,0.9986,True,2022-01-10,Unknown,Kibana Arbitrary Code Execution,Kibana contain an arbitrary code execution flaw in the Timelion visualizer.,Apply updates per vendor instructions.
CVE-2019-7610,9.0,CRITICAL,2019-03-25T19:29:02.197,"Kibana versions before 6.6.1 contain an arbitrary code execution flaw in the security audit logger. If a Kibana instance has the setting xpack.security.audit.enabled set to true, an attacker could send a request that will attempt to execute javascript code. This could possibly lead to an attacker executing arbitrary commands with permissions of the Kibana process on the host system.",0.03908,0.89345,False,,,,,
CVE-2018-20698,6.1,MEDIUM,2019-04-09T18:29:00.517,The floragunn Search Guard plugin before 6.x-16 for Kibana allows URL injection for login redirects on the login page when basePath is set.,0.00802,0.53436,False,,,,,
CVE-2019-7616,4.9,MEDIUM,2019-07-30T22:15:12.897,Kibana versions before 6.8.2 and 7.2.1 contain a server side request forgery (SSRF) flaw in the graphite integration for Timelion visualizer. An attacker with administrative Kibana access could set the timelion:graphite.url configuration option to an arbitrary URL. This could possibly lead to an attacker accessing external URL resources as the Kibana process on the host system.,0.02138,0.80374,False,,,,,
CVE-2019-13422,6.1,MEDIUM,2019-08-23T14:15:11.547,Search Guard Kibana Plugin versions before 5.6.8-7 and before 6.x.y-12 had an issue that an attacker can redirect the user to a potentially malicious site upon Kibana login.,0.00863,0.5538,False,,,,,
CVE-2019-13423,8.8,HIGH,2019-08-23T14:15:11.607,"Search Guard Kibana Plugin versions before 5.6.8-7 and before 6.x.y-12 had an issue that an authenticated Kibana user could impersonate as kibanaserver user when providing wrong credentials when all of the following conditions a-c are true: a) Kibana is configured to use Single-Sign-On as authentication method, one of Kerberos, JWT, Proxy, Client certificate. b) The kibanaserver user is configured to use HTTP Basic as the authentication method. c) Search Guard is configured to use an SSO authentication domain and HTTP Basic at the same time",0.00677,0.49086,False,,,,,
CVE-2019-7618,6.5,MEDIUM,2019-10-01T18:15:13.987,"A local file disclosure flaw was found in Elastic Code versions 7.3.0, 7.3.1, and 7.3.2. If a malicious code repository is imported into Code it is possible to read arbitrary files from the local filesystem of the Kibana instance running Code with the permission of the Kibana system user.",0.01452,0.71034,False,,,,,
CVE-2019-7621,5.4,MEDIUM,2019-12-18T20:15:16.977,Kibana versions before 6.8.6 and 7.5.1 contain a cross site scripting (XSS) flaw in the coordinate and region map visualizations. An attacker with the ability to create coordinate map visualizations could create a malicious visualization. If another Kibana user views that visualization or a dashboard containing the visualization it could execute JavaScript in the victimï¿½s browser.,0.00652,0.48084,False,,,,,
CVE-2020-7012,8.8,HIGH,2020-06-03T18:15:22.857,Kibana versions 6.7.0 to 6.8.8 and 7.0.0 to 7.6.2 contain a prototype pollution flaw in the Upgrade Assistant. An authenticated attacker with privileges to write to the Kibana index could insert data that would cause Kibana to execute arbitrary code. This could possibly lead to an attacker executing code with the permissions of the Kibana process on the host system.,0.18211,0.96946,False,,,,,
CVE-2020-7013,7.2,HIGH,2020-06-03T18:15:22.963,Kibana versions before 6.8.9 and 7.7.0 contain a prototype pollution flaw in TSVB. An authenticated attacker with privileges to create TSVB visualizations could insert data that would cause Kibana to execute arbitrary code. This could possibly lead to an attacker executing code with the permissions of the Kibana process on the host system.,0.02146,0.80435,False,,,,,
CVE-2020-7015,5.4,MEDIUM,2020-06-03T18:15:23.153,"Kibana versions before 6.8.9 and 7.7.0 contains a stored XSS flaw in the TSVB visualization. An attacker who is able to edit or create a TSVB visualization could allow the attacker to obtain sensitive information from, or perform destructive actions, on behalf of Kibana users who edit the TSVB visualization.",0.00779,0.52687,False,,,,,
CVE-2020-7016,4.8,MEDIUM,2020-07-27T18:15:14.170,Kibana versions before 6.8.11 and 7.8.1 contain a denial of service (DoS) flaw in Timelion. An attacker can construct a URL that when viewed by a Kibana user can lead to the Kibana process consuming large amounts of CPU and becoming unresponsive.,0.01085,0.62278,False,,,,,
CVE-2020-7017,6.7,MEDIUM,2020-07-27T18:15:14.233,In Kibana versions before 6.8.11 and 7.8.1 the region map visualization in contains a stored XSS flaw. An attacker who is able to edit or create a region map visualization could obtain sensitive information or perform destructive actions on behalf of Kibana users who view the region map visualization.,0.0122,0.65956,False,,,,,
CVE-2020-27816,6.1,MEDIUM,2020-12-02T01:15:12.843,"The elasticsearch-operator does not validate the namespace where kibana logging resource is created and due to that it is possible to replace the original openshift-logging console link (kibana console) to different one, created based on the new CR for the new kibana resource. This could lead to an arbitrary URL redirection or the openshift-logging console link damage. This flaw affects elasticsearch-operator-container versions before 4.7.",0.00643,0.47659,False,,,,,
CVE-2021-22136,3.5,LOW,2021-05-13T18:15:08.993,"In Kibana versions before 7.12.0 and 6.8.15 a flaw in the session timeout was discovered where the xpack.security.session.idleTimeout setting is not being respected. This was caused by background polling activities unintentionally extending authenticated users sessions, preventing a user session from timing out.",0.00282,0.20563,False,,,,,
CVE-2021-22139,6.5,MEDIUM,2021-05-13T18:15:09.120,"Kibana versions before 7.12.1 contain a denial of service vulnerability was found in the webhook actions due to a lack of timeout or a limit on the request size. An attacker with permissions to create webhook actions could drain the Kibana host connection pool, making Kibana unavailable for all other users.",0.00999,0.59679,False,,,,,
CVE-2020-10743,4.3,MEDIUM,2021-06-02T11:15:07.897,"It was discovered that OpenShift Container Platform's (OCP) distribution of Kibana could open in an iframe, which made it possible to intercept and manipulate requests. This flaw allows an attacker to trick a user into performing arbitrary actions in OCP's distribution of Kibana, such as clickjacking.",0.00713,0.50401,False,,,,,
CVE-2021-37938,4.3,MEDIUM,2021-11-18T16:15:08.817,"It was discovered that on Windows operating systems specifically, Kibana was not validating a user supplied path, which would load .pbf files. Because of this, a malicious user could arbitrarily traverse the Kibana host to load internal files ending in the .pbf extension. Thanks to Dominic Couture for finding this vulnerability.",0.00697,0.49846,False,,,,,
CVE-2021-37939,2.7,LOW,2021-11-18T16:15:08.963,"It was discovered that Kibana’s JIRA connector & IBM Resilient connector could be used to return HTTP response data on internal hosts, which may be intentionally hidden from public view. Using this vulnerability, a malicious user with the ability to create connectors, could utilize these connectors to view limited HTTP response data on hosts accessible to the cluster.",0.00442,0.36589,False,,,,,
CVE-2022-23707,5.4,MEDIUM,2022-02-11T18:15:11.797,"An XSS vulnerability was found in Kibana index patterns. Using this vulnerability, an authenticated user with permissions to create index patterns can inject malicious javascript into the index pattern which could execute against other users",0.00527,0.41969,False,,,,,
CVE-2022-23709,4.3,MEDIUM,2022-03-03T22:15:08.850,"A flaw was discovered in Kibana in which users with Read access to the Uptime feature could modify alerting rules. A user with this privilege would be able to create new alerting rules or overwrite existing ones. However, any new or modified rules would not be enabled, and a user with this privilege could not modify alerting connectors. This effectively means that Read users could disable existing alerting rules.",0.00552,0.4335,False,,,,,
CVE-2022-23711,5.3,MEDIUM,2022-04-21T19:15:08.947,A vulnerability in Kibana could expose sensitive information related to Elastic Stack monitoring in the Kibana page source. Elastic Stack monitoring features provide a way to keep a pulse on the health and performance of your Elasticsearch cluster. Authentication with a vulnerable Kibana instance is not required to view the exposed information. The Elastic Stack monitoring exposure only impacts users that have set any of the optional monitoring.ui.elasticsearch.* settings in order to configure Kibana as a remote UI for Elastic Stack Monitoring. The same vulnerability in Kibana could expose other non-sensitive application-internal information in the page source.,0.00888,0.56146,False,,,,,
CVE-2022-23713,6.1,MEDIUM,2022-07-06T14:15:18.393,A cross-site-scripting (XSS) vulnerability was discovered in the Vega Charts Kibana integration which could allow arbitrary JavaScript to be executed in a victim’s browser.,0.00795,0.53203,False,,,,,
CVE-2022-41918,6.3,MEDIUM,2022-11-15T23:15:28.283,"OpenSearch is a community-driven, open source fork of Elasticsearch and Kibana. There is an issue with the implementation of fine-grained access control rules (document-level security, field-level security and field masking) where they are not correctly applied to the indices that back data streams potentially leading to incorrect access authorization. OpenSearch 1.3.7 and 2.4.0 contain a fix for this issue. Users are advised to update. There are no known workarounds for this issue.",0.0043,0.35658,False,,,,,
CVE-2022-41917,4.3,MEDIUM,2022-11-16T00:15:11.283,"OpenSearch is a community-driven, open source fork of Elasticsearch and Kibana. OpenSearch allows users to specify a local file when defining text analyzers to process data for text analysis. An issue in the implementation of this feature allows certain specially crafted queries to return a response containing the first line of text from arbitrary files. The list of potentially impacted files is limited to text files with read permissions allowed in the Java Security Manager policy configuration. OpenSearch version 1.3.7 and 2.4.0 contain a fix for this issue. Users are advised to upgrade. There are no known workarounds for this issue.",0.00522,0.41708,False,,,,,
CVE-2021-22141,6.1,MEDIUM,2022-11-18T23:15:11.553,"An open redirect flaw was found in Kibana versions before 7.13.0 and 6.8.16. If a logged in user visits a maliciously crafted URL, it could result in Kibana redirecting the user to an arbitrary website.",0.00537,0.42521,False,,,,,
CVE-2021-37936,5.4,MEDIUM,2022-11-18T23:15:19.060,"It was discovered that Kibana was not sanitizing document fields containing HTML snippets. Using this vulnerability, an attacker with the ability to write documents to an elasticsearch index could inject HTML. When the Discover app highlighted a search term containing the HTML, it would be rendered for the user.",0.00456,0.37605,False,,,,,
CVE-2022-38778,6.5,MEDIUM,2023-02-08T21:15:10.583,"A flaw (CVE-2022-38900) was discovered in one of Kibana’s third party dependencies, that could allow an authenticated user to perform a request that crashes the Kibana server process.",0.0088,0.55907,False,,,,,
CVE-2022-38779,6.1,MEDIUM,2023-02-22T00:15:11.213,An open redirect issue was discovered in Kibana that could lead to a user being redirected to an arbitrary website if they use a maliciously crafted Kibana URL.,0.00513,0.41164,False,,,,,
CVE-2023-31414,8.8,HIGH,2023-05-04T21:15:11.703,Kibana versions 8.0.0 through 8.7.0 contain an arbitrary code execution flaw. An attacker with write access to Kibana yaml or env configuration could add a specific payload that will attempt to execute JavaScript code. This could lead to the attacker executing arbitrary commands on the host system with permissions of the Kibana process.,0.00603,0.45787,False,,,,,
CVE-2023-31415,8.8,HIGH,2023-05-04T21:15:11.760,Kibana version 8.7.0 contains an arbitrary code execution flaw. An attacker with All privileges to the Uptime/Synthetics feature could send a request that will attempt to execute JavaScript code. This could lead to the attacker executing arbitrary commands on the host system with permissions of the Kibana process.,0.00957,0.58326,False,,,,,
CVE-2023-45807,5.4,MEDIUM,2023-10-16T22:15:12.790,"OpenSearch is a community-driven, open source fork of Elasticsearch and Kibana following the license change in early 2021. There is an issue with the implementation of tenant permissions in OpenSearch Dashboards where authenticated users with read-only access to a tenant can perform create, edit and delete operations on index metadata of dashboards and visualizations in that tenant, potentially rendering them unavailable. This issue does not affect index data, only metadata. Dashboards correctly enforces read-only permissions when indexing and updating documents. This issue does not provide additional read access to data users don’t already have. This issue can be mitigated by disabling the tenants functionality for the cluster. Versions 1.3.14 and 2.11.0 contain a fix for this issue.",0.0041,0.33941,False,,,,,
CVE-2023-31422,9.0,CRITICAL,2023-10-26T02:15:08.340,"An issue was discovered by Elastic whereby sensitive information is recorded in Kibana logs in the event of an error. The issue impacts only Kibana version 8.10.0 when logging in the JSON layout or when the pattern layout is configured to log the %meta pattern. Elastic has released Kibana 8.10.1 which resolves this issue. The error object recorded in the log contains request information, which can include sensitive data, such as authentication credentials, cookies, authorization headers, query params, request paths, and other metadata. Some examples of sensitive data which can be included in the logs are account credentials for kibana_system, kibana-metricbeat, or Kibana end-users.",0.00656,0.48233,False,,,,,
CVE-2021-22142,6.6,MEDIUM,2023-11-22T01:15:07.210,"Kibana contains an embedded version of the Chromium browser that the Reporting feature uses to generate the downloadable reports. If a user with permissions to generate reports is able to render arbitrary HTML with this browser, they may be able to leverage known Chromium vulnerabilities to conduct further attacks. Kibana contains a number of protections to prevent this browser from rendering arbitrary content.",0.01009,0.60002,False,,,,,
CVE-2021-22150,6.6,MEDIUM,2023-11-22T01:15:07.417,"It was discovered that a user with Fleet admin permissions could upload a malicious package. Due to using an older version of the js-yaml library, this package would be loaded in an insecure manner, allowing an attacker to execute commands on the Kibana server.
",0.01154,0.64156,False,,,,,
