cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-1999-1273,7.5,HIGH,1998-02-20T05:00:00.000,Squid Internet Object Cache 1.1.20 allows users to bypass access control lists (ACLs) by encoding the URL with hexadecimal escape sequences.,0.01306,0.67984,False,,,,,
CVE-1999-0710,7.5,HIGH,1999-07-25T04:00:00.000,"The Squid package in Red Hat Linux 5.2 and 6.0, and other distributions, installs cachemgr.cgi in a public web directory, which allows remote attackers to use it as an intermediary to connect to other systems.",0.116,0.9565,False,,,,,
CVE-1999-1481,5.0,MEDIUM,1999-12-31T05:00:00.000,"Squid 2.2.STABLE5 and below, when using external authentication, allows attackers to bypass access controls via a newline in the user/password pair.",0.03573,0.88327,False,,,,,
CVE-2001-0142,1.2,LOW,2001-03-12T05:00:00.000,squid 2.3 and earlier allows local users to overwrite arbitrary files via a symlink attack in some configurations.,0.00304,0.22868,False,,,,,
CVE-2001-1030,7.5,HIGH,2001-07-18T04:00:00.000,"Squid before 2.3STABLE5 in HTTP accelerator mode does not enable access control lists (ACLs) when the httpd_accel_host and http_accel_with_proxy off settings are used, which allows attackers to bypass the ACLs and conduct unauthorized activities such as port scanning.",0.01962,0.78535,False,,,,,
CVE-2001-0843,5.0,MEDIUM,2001-12-06T05:00:00.000,Squid proxy server 2.4 and earlier allows remote attackers to cause a denial of service (crash) via a mkdir-only FTP PUT request.,0.02847,0.85437,False,,,,,
CVE-2002-0067,7.5,HIGH,2002-03-08T05:00:00.000,"Squid 2.4 STABLE3 and earlier does not properly disable HTCP, even when ""htcp_port 0"" is specified in squid.conf, which could allow remote attackers to bypass intended access restrictions.",0.03651,0.88591,False,,,,,
CVE-2002-0068,7.5,HIGH,2002-03-08T05:00:00.000,"Squid 2.4 STABLE3 and earlier allows remote attackers to cause a denial of service (core dump) and possibly execute arbitrary code with an ftp:// URL with a larger number of special characters, which exceed the buffer when Squid URL-escapes the characters.",0.09449,0.9497,False,,,,,
CVE-2002-0069,2.6,LOW,2002-03-08T05:00:00.000,Memory leak in SNMP in Squid 2.4 STABLE3 and earlier allows remote attackers to cause a denial of service.,0.02783,0.85095,False,,,,,
CVE-2002-0163,7.5,HIGH,2002-03-26T05:00:00.000,"Heap-based buffer overflow in Squid before 2.4 STABLE4, and Squid 2.5 and 2.6 until March 12, 2002 distributions, allows remote attackers to cause a denial of service, and possibly execute arbitrary code, via compressed DNS responses.",0.15054,0.96419,False,,,,,
CVE-2002-0713,7.5,HIGH,2002-07-26T04:00:00.000,"Buffer overflows in Squid before 2.4.STABLE6 allow remote attackers to cause a denial of service (crash) and possibly execute arbitrary code (1) via the MSNT auth helper (msnt_auth) when using denyusers or allowusers files, (2) via the gopher client, or (3) via the FTP server directory listing parser when HTML output is generated.",0.05537,0.92114,False,,,,,
CVE-2002-0714,7.5,HIGH,2002-07-26T04:00:00.000,"FTP proxy in Squid before 2.4.STABLE6 does not compare the IP addresses of control and data connections with the FTP server, which allows remote attackers to bypass firewall rules or spoof FTP server responses.",0.02746,0.84864,False,,,,,
CVE-2002-0715,5.0,MEDIUM,2002-07-26T04:00:00.000,Vulnerability in Squid before 2.4.STABLE6 related to proxy authentication credentials may allow remote web sites to obtain the user's proxy login and password.,0.02303,0.81788,False,,,,,
