Issue Type,Epic Name,Epic Link,Summary,Description,Story Points,Labels,Sprint,Priority
Epic,Data Pipeline & Vulnerability Ingestion,,Data Pipeline & Vulnerability Ingestion,,,data,Sprint 1,Medium
Story,,Data Pipeline & Vulnerability Ingestion,Decide CVE-to-asset mapping method,"Key concept: CPE (Common Platform Enumeration) is a standardized way to query NVD directly by product/version; a curated CVE list means the team manually picks a fixed set of CVEs to work with instead. This decision blocks every other Data Pipeline ticket.

Roles:
- Deliverable Architect: researches both options and makes the technical call.
- Scrum Master: makes sure this doesn't sit unresolved and quietly stall the sprint.
- Project Coordinator: communicates the decision and its impact to the rest of the team once made.
- Tech Auditor: won't let dependent tickets move to In Progress until this one is actually closed out.

Project Coordinator talking points: which method was chosen, why, and what it means for how much CVE data we'll realistically have.
Tech Auditor checklist: the decision and reasoning are written in the ticket itself, not just talked about verbally.

Requires: a short comparison written in the ticket (pros/cons, data volume, complexity) before marking it Done.",2.0,data,Sprint 1,Highest
Story,,Data Pipeline & Vulnerability Ingestion,Build NVD API client,"Key concept: the NVD (National Vulnerability Database) API returns CVE records including their CVSS severity scores — this is the base data everything else scores against.

Roles:
- Deliverable Architect: builds the client, handles pagination/rate limits, requests an API key if needed.
- Scrum Master: unblocks any access/API-key delays fast.
- Project Coordinator: flags if NVD access issues will affect the Sprint 1 timeline.
- Tech Auditor: only marks Done once the client returns real CVE + CVSS data, not a stub.

Project Coordinator talking points: this is the foundational data source — nothing else in the pipeline works without it.
Tech Auditor checklist: client runs end-to-end and produces CVE records with CVSS scores attached.

Requires: an NVD API key, Python (requests), and basic error/rate-limit handling.",3.0,data,Sprint 1,Medium
Story,,Data Pipeline & Vulnerability Ingestion,Integrate FIRST.org EPSS API,"Key concept: EPSS (Exploit Prediction Scoring System) estimates the probability a CVE will actually be exploited in the next 30 days — this is what separates our tool from a static severity list.

Roles:
- Deliverable Architect: builds the integration and merges EPSS scores onto existing CVE records.
- Scrum Master: keeps this from slipping since it feeds directly into scoring next epic.
- Project Coordinator: can explain why EPSS matters if a stakeholder asks ""why not just use CVSS.""
- Tech Auditor: confirms EPSS values are actually joined to the right CVE, not just fetched and dropped.

Project Coordinator talking points: EPSS is the ""is this likely to be exploited"" signal — the core differentiator of the project.
Tech Auditor checklist: sample output shows CVE + CVSS + EPSS together correctly matched by CVE ID.

Requires: FIRST.org EPSS API access and matching records to the NVD data by CVE ID.",2.0,data,Sprint 1,Medium
Story,,Data Pipeline & Vulnerability Ingestion,Integrate CISA KEV feed,"Key concept: CISA's Known Exploited Vulnerabilities (KEV) catalog lists CVEs confirmed to be actively exploited right now — this is the strongest possible signal in our scoring formula.

Roles:
- Deliverable Architect: pulls the feed and flags matching CVEs in the dataset.
- Scrum Master: treats this as high-value/low-effort and helps prioritize it if time gets tight.
- Project Coordinator: can explain KEV as ""confirmed attacks happening now,"" not a prediction.
- Tech Auditor: verifies the KEV flag is present and correct on the right rows.

Project Coordinator talking points: KEV is the clearest, most defensible reason to jump a vulnerability to the top of the plan.
Tech Auditor checklist: a boolean/flag column exists and correctly marks actively-exploited CVEs.

Requires: pulling the public CISA KEV JSON/CSV feed and matching entries by CVE ID.",2.0,data,Sprint 1,Medium
Story,,Data Pipeline & Vulnerability Ingestion,Combine feeds into one clean DataFrame,"Key concept: this is the join step — NVD, EPSS, and KEV data all need to line up on CVE ID into one table with no duplicate or missing-key rows before scoring can start.

Roles:
- Deliverable Architect: writes the merge logic and handles missing/unmatched records.
- Scrum Master: confirms this closes out the Data Pipeline epic on schedule.
- Project Coordinator: can state that this is the single source of truth the rest of the tool builds on.
- Tech Auditor: checks the merged DataFrame for row-count sanity and no silently dropped CVEs.

Project Coordinator talking points: this ticket marks the pipeline epic as functionally complete.
Tech Auditor checklist: final DataFrame has one row per CVE with CVSS, EPSS, and KEV columns all populated (or explicitly null, not missing).

Requires: pandas merge/join logic and a documented approach for CVEs missing from one of the three sources.",2.0,data,Sprint 1,Medium
Epic,Asset Graph Setup,,Asset Graph Setup,,,data,Sprint 1,Medium
Story,,Asset Graph Setup,Author the asset CSV,"Key concept: this is fictional company data — a set of systems, how they connect to each other, and which one is the ""crown jewel"" (the most valuable system to protect).

Roles:
- Deliverable Architect: designs a realistic, connected asset map (not a random list).
- Scrum Master: keeps scope to 15-20 assets so it doesn't balloon.
- Project Coordinator: can explain that this CSV stands in for what a real audit team would provide.
- Tech Auditor: confirms every asset has connections, a criticality tag, and exactly one crown-jewel designation.

Project Coordinator talking points: this is simulated input data representing what a real client would hand us.
Tech Auditor checklist: CSV has 15-20 rows, each with connections and criticality filled in, and one clear crown jewel.

Requires: designing plausible asset names, relationships, and criticality levels by hand.",2.0,data,Sprint 1,Medium
Story,,Asset Graph Setup,Build networkx graph loader,"Key concept: networkx is a Python library for representing networks as graphs (nodes = assets, edges = connections) so distance/importance can be calculated algorithmically instead of guessed.

Roles:
- Deliverable Architect: writes the loader that turns the asset CSV into a graph object.
- Scrum Master: makes sure this doesn't block hop-distance work behind it.
- Project Coordinator: can describe this as ""turning the asset list into a map the tool can actually reason about.""
- Tech Auditor: confirms the graph's node/edge count matches the source CSV.

Project Coordinator talking points: this is what replaces subjective ""how important is this system"" guesses with an actual map.
Tech Auditor checklist: loader runs cleanly on the asset CSV and produces a graph with the expected number of nodes and edges.

Requires: Python networkx and a CSV parser matching the schema from the asset CSV ticket.",2.0,data,Sprint 1,Medium
Story,,Asset Graph Setup,Implement hop-distance calculation,"Key concept: hop-distance is the number of connection ""steps"" between an asset and the crown jewel, typically computed with a shortest-path/BFS algorithm — closer assets are treated as more important.

Roles:
- Deliverable Architect: implements the shortest-path calculation from every asset to the crown jewel.
- Scrum Master: watches this as the last technical dependency before importance tiers can be assigned.
- Project Coordinator: can explain hop-distance simply as ""how close is this system to what matters most.""
- Tech Auditor: spot-checks a few known assets against expected distances.

Project Coordinator talking points: this is the mechanism that makes asset importance data-driven instead of subjective.
Tech Auditor checklist: every asset in the graph has a computed hop-distance value, none left null.

Requires: networkx's shortest-path functions run against the graph built in the previous ticket.",3.0,data,Sprint 1,Medium
