cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2004-2030,4.3,MEDIUM,2004-05-22T04:00:00.000,"Multiple cross-site scripting (XSS) vulnerabilities in index.jsp for Liferay before 2.2.0 release 10/1/2004 allow remote attackers to inject arbitrary web script or HTML, as demonstrated using the message subject.",0.0208,0.79813,False,,,,,
CVE-2005-4400,4.3,MEDIUM,2005-12-20T11:03:00.000,"Cross-site scripting (XSS) vulnerability in downloads/portal_ent in Liferay Portal Enterprise 3.6.1 and earlier allows remote attackers to inject arbitrary web script or HTML via the (1) _77_struts_action, (2) p_p_mode, and (3) p_p_state parameters.",0.01748,0.75803,False,,,,,
CVE-2007-6055,4.3,MEDIUM,2007-11-20T20:46:00.000,Cross-site scripting (XSS) vulnerability in c/portal/login in Liferay Portal 4.1.0 and 4.1.1 allows remote attackers to inject arbitrary web script or HTML via the login parameter.  NOTE: this issue reportedly exists because of a regression that followed a fix at an unspecified earlier date.,0.02886,0.85628,False,,,,,
CVE-2007-6173,4.3,MEDIUM,2007-11-30T00:46:00.000,"Cross-site scripting (XSS) vulnerability in c/portal/login in Liferay Enterprise Portal 4.3.1 allows remote attackers to inject arbitrary web script or HTML via the emailAddress parameter in a Send New Password action, a different vector than CVE-2007-6055.  NOTE: some of these details are obtained from third party information.",0.02307,0.81809,False,,,,,
CVE-2008-0178,4.3,MEDIUM,2008-02-05T00:00:00.000,Cross-site scripting (XSS) vulnerability in the Enterprise Admin Session Monitoring component in Liferay Portal 4.3.6 allows remote authenticated users to inject arbitrary web script or HTML via the User-Agent HTTP header.,0.0201,0.79098,False,,,,,
CVE-2008-0179,2.6,LOW,2008-02-05T00:00:00.000,"Cross-site scripting (XSS) vulnerability in service/impl/UserLocalServiceImpl.java in Liferay Portal 4.3.6 allows remote attackers to inject arbitrary web script or HTML via the User-Agent HTTP header, which is used when composing Forgot Password e-mail messages in HTML format.",0.01212,0.65753,False,,,,,
CVE-2008-0180,4.3,MEDIUM,2008-02-05T00:00:00.000,Cross-site scripting (XSS) vulnerability in themes/_unstyled/templates/init.vm in Liferay Portal 4.3.6 allows remote authenticated users to inject arbitrary web script or HTML via the Greeting field in a User Profile.,0.01338,0.68723,False,,,,,
CVE-2008-0181,4.3,MEDIUM,2008-02-05T00:00:00.000,Cross-site scripting (XSS) vulnerability in the Admin portlet in Liferay Portal 4.3.6 allows remote authenticated users to inject arbitrary web script or HTML via the Shutdown message.,0.01338,0.68722,False,,,,,
CVE-2008-0182,4.3,MEDIUM,2008-02-05T00:00:00.000,Cross-site request forgery (CSRF) vulnerability in the Admin portlet in Liferay Portal before 4.4.0 allows remote authenticated users to perform unspecified actions as unspecified other authenticated users via the Shutdown message.,0.00602,0.45783,False,,,,,
CVE-2008-0563,4.3,MEDIUM,2008-02-05T00:00:00.000,"Cross-site request forgery (CSRF) vulnerability in service/impl/UserLocalServiceImpl.java in Liferay Portal 4.3.6 allows remote attackers to perform unspecified actions as unspecified authenticated users via the User-Agent HTTP header, which is used when composing Forgot Password e-mail messages in HTML format.",0.00438,0.36314,False,,,,,
CVE-2009-1294,4.3,MEDIUM,2009-04-16T15:12:57.437,Multiple cross-site scripting (XSS) vulnerabilities in web/guest/home in the Liferay 4.3.0 portal in Novell Teaming 1.0 through SP3 (1.0.3) allow remote attackers to inject arbitrary web script or HTML via the (1) p_p_state or (2) p_p_mode parameters.,0.04696,0.90986,False,,,,,
CVE-2009-3742,4.3,MEDIUM,2010-01-07T20:30:00.293,Cross-site scripting (XSS) vulnerability in Liferay Portal before 5.3.0 allows remote attackers to inject arbitrary web script or HTML via the p_p_id parameter.,0.01072,0.619,False,,,,,
CVE-2011-1502,4.0,MEDIUM,2011-05-07T19:55:00.947,"Liferay Portal Community Edition (CE) 6.x before 6.0.6 GA, when Apache Tomcat is used, allows remote authenticated users to read arbitrary files via an entity declaration in conjunction with an entity reference, related to an XML External Entity (aka XXE) issue.",0.01826,0.76872,False,,,,,
