cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2013-5030,7.2,HIGH,2013-10-16T10:52:44.823,"Ruckus Wireless Zoneflex 2942 devices with firmware 9.6.0.0.267 allow remote attackers to bypass authentication, and subsequently access certain configuration/ and maintenance/ scripts, by constructing a crafted URI after receiving an authentication error for an arbitrary login attempt.",0.02123,0.80232,False,,,,,
CVE-2016-1000216,8.8,HIGH,2016-10-10T20:59:35.003,Ruckus Wireless H500 web management interface authenticated command injection,0.06722,0.93328,False,,,,,
CVE-2016-1000213,8.8,HIGH,2016-10-25T14:29:04.900,Ruckus Wireless H500 web management interface CSRF,0.00452,0.37326,False,,,,,
CVE-2016-1000214,5.3,MEDIUM,2016-10-25T14:29:06.260,Ruckus Wireless H500 web management interface authentication bypass,0.01078,0.62066,False,,,,,
CVE-2016-1000215,7.5,HIGH,2016-10-25T14:29:07.790,Ruckus Wireless H500 web management interface denial of service,0.0106,0.61552,False,,,,,
CVE-2017-6223,8.8,HIGH,2017-10-13T17:29:01.113,"Ruckus Wireless Zone Director Controller firmware releases ZD9.9.x, ZD9.10.x, ZD9.13.0.x less than 9.13.0.0.232 contain OS Command Injection vulnerabilities in the ping functionality that could allow local authenticated users to execute arbitrary privileged commands on the underlying operating system.",0.0172,0.75421,False,,,,,
CVE-2017-6224,8.8,HIGH,2017-10-13T17:29:01.160,"Ruckus Wireless Zone Director Controller firmware releases ZD9.x, ZD10.0.0.x, ZD10.0.1.x (less than 10.0.1.0.17 MR1 release) and Ruckus Wireless Unleashed AP Firmware releases 200.0.x, 200.1.x, 200.2.x, 200.3.x, 200.4.x. contain OS Command Injection vulnerabilities that could allow local authenticated users to execute arbitrary privileged commands on the underlying operating system by appending those commands in the Common Name field in the Certificate Generation Request.",0.01211,0.65716,False,,,,,
CVE-2017-6229,8.8,HIGH,2018-02-14T19:29:00.213,"Ruckus Networks Unleashed AP firmware releases before 200.6.10.1.x and Ruckus Networks Zone Director firmware releases 10.1.0.0.x, 9.10.2.0.x, 9.12.3.0.x, 9.13.3.0.x, 10.0.1.0.x or before contain authenticated Root Command Injection in the CLI that could allow authenticated valid users to execute privileged commands on the respective systems.",0.02268,0.81475,False,,,,,
CVE-2017-6230,8.8,HIGH,2018-02-14T19:29:00.260,Ruckus Networks Solo APs firmware releases R110.x or before and Ruckus Networks SZ managed APs firmware releases R5.x or before contain authenticated Root Command Injection in the web-GUI that could allow authenticated valid users to execute privileged commands on the respective systems.,0.02268,0.81474,False,,,,,
CVE-2018-11027,6.1,MEDIUM,2018-05-29T20:29:02.517,A reflected XSS vulnerability on Ruckus ICX7450-48 devices allows remote attackers to inject arbitrary web script or HTML.,0.00805,0.53558,False,,,,,
CVE-2018-11036,9.1,CRITICAL,2018-05-31T12:29:00.220,"Ruckus SmartZone (formerly Virtual SmartCell Gateway or vSCG) 3.5.0, 3.5.1, 3.6.0, and 3.6.1 (Essentials and High Scale) on vSZ, SZ-100, SZ-300, and SCG-200 devices allows remote attackers to obtain sensitive information or modify data.",0.01338,0.68731,False,,,,,
CVE-2020-7234,4.8,MEDIUM,2020-01-19T21:15:10.943,Ruckus ZoneFlex R310 104.0.0.0.1347 devices allow Stored XSS via the SSID field on the Configuration > Radio 2.4G > Wireless X screen (after a successful login to the super account).,0.00553,0.43378,False,,,,,
CVE-2019-19834,7.2,HIGH,2020-01-22T19:15:12.327,Directory Traversal in ruckus_cli2 in Ruckus Wireless Unleashed through 200.7.10.102.64 allows a remote attacker to jailbreak the CLI via enable->debug->script->exec with ../../../bin/sh as the parameter.,0.02211,0.81014,False,,,,,
CVE-2019-19836,9.8,CRITICAL,2020-01-22T19:15:12.407,AjaxRestrictedCmdStat in zap in Ruckus Wireless Unleashed through 200.7.10.102.64 allows remote code execution via a POST request that uses tools/_rcmdstat.jsp to write to a specified filename.,0.03591,0.88389,False,,,,,
CVE-2019-19843,9.8,CRITICAL,2020-01-22T19:15:12.517,Incorrect access control in the web interface in Ruckus Wireless Unleashed through 200.7.10.102.64 allows remote credential fetch via an unauthenticated HTTP request involving a symlink with /tmp and web/user/wps_tool_cache.,0.0182,0.76793,False,,,,,
CVE-2019-19840,9.8,CRITICAL,2020-01-22T21:15:10.177,A stack-based buffer overflow in zap_parse_args in zap.c in zap in Ruckus Unleashed through 200.7.10.102.64 allows remote code execution via an unauthenticated HTTP request.,0.04126,0.899,False,,,,,
CVE-2019-19841,9.8,CRITICAL,2020-01-22T21:15:10.273,emfd in Ruckus Wireless Unleashed through 200.7.10.102.64 allows remote attackers to execute OS commands via a POST request with the attribute xcmd=packet-capture to admin/_cmdstat.jsp via the mac attribute.,0.03282,0.87331,False,,,,,
