cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-1999-0661,10.0,HIGH,1999-01-01T05:00:00.000,"A system is running a version of software that was replaced with a Trojan Horse at one of its distribution points, such as (1) TCP Wrappers 7.6, (2) util-linux 2.9g, (3) wuarchive ftpd (wuftpd) 2.2 and 2.1f, (4) IRC client (ircII) ircII 2.2.9, (5) OpenSSH 3.4p1, or (6) Sendmail 8.12.6.",0.54244,0.98918,False,,,,,
CVE-2000-0525,10.0,HIGH,2000-06-08T04:00:00.000,"OpenSSH does not properly drop privileges when the UseLogin option is enabled, which allows local users to execute arbitrary commands by providing the command to the ssh daemon.",0.02626,0.84121,False,,,,,
CVE-2000-0535,5.0,MEDIUM,2000-06-12T04:00:00.000,"OpenSSL 0.9.4 and OpenSSH for FreeBSD do not properly check for the existence of the /dev/random or /dev/urandom devices, which are absent on FreeBSD Alpha systems, which causes them to produce weak keys which may be more easily broken.",0.01438,0.70771,False,,,,,
CVE-2000-1169,7.5,HIGH,2001-01-09T05:00:00.000,"OpenSSH SSH client before 2.3.0 does not properly disable X11 or agent forwarding, which could allow a malicious SSH server to gain access to the X11 display and sniff X11 events, or gain access to the ssh-agent.",0.01849,0.77176,False,,,,,
CVE-2001-1459,7.5,HIGH,2001-06-19T04:00:00.000,"OpenSSH 2.9 and earlier does not initiate a Pluggable Authentication Module (PAM) session if commands are executed with no pty, which allows local users to bypass resource limits (rlimits) set in pam.d.",0.02158,0.80555,False,,,,,
CVE-2001-0361,4.0,MEDIUM,2001-06-27T04:00:00.000,"Implementations of SSH version 1.5, including (1) OpenSSH up to version 2.3.0, (2) AppGate, and (3) ssh-1 up to version 1.2.31, in certain configurations, allow a remote attacker to decrypt and/or alter traffic via a ""Bleichenbacher attack"" on PKCS#1 version 1.5.",0.02501,0.83266,False,,,,,
CVE-2001-0529,7.2,HIGH,2001-08-14T04:00:00.000,"OpenSSH version 2.9 and earlier, with X forwarding enabled, allows a local attacker to delete any file named 'cookies' via a symlink attack.",0.00622,0.46717,False,,,,,
CVE-2001-0572,7.5,HIGH,2001-08-22T04:00:00.000,"The SSH protocols 1 and 2 (aka SSH-2) as implemented in OpenSSH and other packages have various weaknesses which can allow a remote attacker to obtain the following information via sniffing: (1) password lengths or ranges of lengths, which simplifies brute force password guessing, (2) whether RSA or DSA authentication is being used, (3) the number of authorized_keys in RSA authentication, or (4) the lengths of shell commands.",0.07051,0.93611,False,,,,,
CVE-2001-1029,2.1,LOW,2001-09-20T04:00:00.000,"libutil in OpenSSH on FreeBSD 4.4 and earlier does not drop privileges before verifying the capabilities for reading the copyright and welcome files, which allows local users to bypass the capabilities checks and read arbitrary files by specifying alternate copyright or welcome files.",0.01368,0.694,False,,,,,
CVE-2001-1382,5.0,MEDIUM,2001-09-27T04:00:00.000,"The ""echo simulation"" traffic analysis countermeasure in OpenSSH before 2.9.9p2 sends an additional echo packet after the password and carriage return is entered, which could allow remote attackers to determine that the countermeasure is being used.",0.07818,0.9413,False,,,,,
CVE-2001-1380,7.5,HIGH,2001-10-18T04:00:00.000,"OpenSSH before 2.9.9, while using keypairs and multiple keys of different types in the ~/.ssh/authorized_keys2 file, may not properly handle the ""from"" option associated with a key, which could allow remote attackers to login from unauthorized IP addresses.",0.02949,0.85924,False,,,,,
CVE-2001-0816,7.5,HIGH,2001-12-06T05:00:00.000,"OpenSSH before 2.9.9, when running sftp using sftp-server and using restricted keypairs, allows remote authenticated users to bypass authorized_keys2 command= restrictions using sftp commands.",0.01794,0.76435,False,,,,,
CVE-2001-0872,7.2,HIGH,2001-12-21T05:00:00.000,"OpenSSH 3.0.1 and earlier with UseLogin enabled does not properly cleanse critical environment variables such as LD_PRELOAD, which allows local users to gain root privileges.",0.00871,0.55625,False,,,,,
CVE-2001-1507,7.5,HIGH,2001-12-31T05:00:00.000,"OpenSSH before 3.0.1 with Kerberos V enabled does not properly authenticate users, which could allow remote attackers to login unchallenged.",0.02241,0.81266,False,,,,,
CVE-2001-1585,6.8,MEDIUM,2001-12-31T05:00:00.000,"SSH protocol 2 (aka SSH-2) public key authentication in the development snapshot of OpenSSH 2.3.1, available from 2001-01-18 through 2001-02-08, does not perform a challenge-response step to ensure that the client has the proper private key, which allows remote attackers to bypass authentication as other users by supplying a public key from that user's authorized_keys file.",0.01924,0.78097,False,,,,,
CVE-2002-0083,9.8,CRITICAL,2002-03-15T05:00:00.000,Off-by-one error in the channel code of OpenSSH 2.0 through 3.0.2 allows local users or remote malicious servers to gain privileges.,0.14688,0.96354,False,,,,,
CVE-2002-0575,7.5,HIGH,2002-06-18T04:00:00.000,"Buffer overflow in OpenSSH before 2.9.9, and 3.x before 3.2.1, with Kerberos/AFS support and KerberosTgtPassing or AFSTokenPassing enabled, allows remote and local authenticated users to gain privileges.",0.04212,0.90081,False,,,,,
CVE-2002-0639,9.8,CRITICAL,2002-07-03T04:00:00.000,Integer overflow in sshd in OpenSSH 2.9.9 through 3.3 allows remote attackers to execute arbitrary code during challenge response authentication (ChallengeResponseAuthentication) when OpenSSH is using SKEY or BSD_AUTH authentication.,0.18431,0.96974,False,,,,,
CVE-2002-0640,10.0,HIGH,2002-07-03T04:00:00.000,Buffer overflow in sshd in OpenSSH 2.3.1 through 3.3 may allow remote attackers to execute arbitrary code via a large number of responses during challenge response authentication when OpenBSD is using PAM modules with interactive keyboard authentication (PAMAuthenticationViaKbdInt).,0.27323,0.97881,False,,,,,
CVE-2002-0765,7.5,HIGH,2002-08-12T04:00:00.000,"sshd in OpenSSH 3.2.2, when using YP with netgroups and under certain conditions, may allow users to successfully authenticate and log in with another user's password.",0.01277,0.67371,False,,,,,
CVE-2003-0190,5.0,MEDIUM,2003-05-12T04:00:00.000,"OpenSSH-portable (OpenSSH) 3.6.1p1 and earlier with PAM support enabled immediately sends an error message when a user does not exist, which allows remote attackers to determine valid usernames via a timing attack.",0.76751,0.99503,False,,,,,
CVE-2003-0386,7.5,HIGH,2003-07-02T04:00:00.000,"OpenSSH 3.6.1 and earlier, when restricting host access by numeric IP addresses and with VerifyReverseMapping disabled, allows remote attackers to bypass ""from="" and ""user@host"" address restrictions by connecting to a host from a system whose reverse DNS hostname contains the numeric IP address.",0.05766,0.92401,False,,,,,
CVE-2003-0693,10.0,HIGH,2003-09-22T04:00:00.000,"A ""buffer management error"" in buffer_append_space of buffer.c for OpenSSH before 3.7 may allow remote attackers to execute arbitrary code by causing an incorrect amount of memory to be freed and corrupting the heap, a different vulnerability than CVE-2003-0695.",0.11423,0.95608,False,,,,,
CVE-2003-0682,7.5,HIGH,2003-10-06T04:00:00.000,"""Memory bugs"" in OpenSSH 3.7.1 and earlier, with unknown impact, a different set of vulnerabilities than CVE-2003-0693 and CVE-2003-0695.",0.08788,0.94694,False,,,,,
CVE-2003-0695,7.5,HIGH,2003-10-06T04:00:00.000,"Multiple ""buffer management errors"" in OpenSSH before 3.7.1 may allow attackers to cause a denial of service or execute arbitrary code using (1) buffer_init in buffer.c, (2) buffer_free in buffer.c, or (3) a separate function in channels.c, a different vulnerability than CVE-2003-0693.",0.03892,0.89303,False,,,,,
CVE-2003-0786,10.0,HIGH,2003-11-17T05:00:00.000,"The SSH1 PAM challenge response authentication in OpenSSH 3.7.1 and 3.7.1p1, when Privilege Separation is disabled, does not check the result of the authentication attempt, which can allow remote attackers to gain privileges.",0.03559,0.8828,False,,,,,
CVE-2003-0787,7.5,HIGH,2003-11-17T05:00:00.000,"The PAM conversation function in OpenSSH 3.7.1 and 3.7.1p1 interprets an array of structures as an array of pointers, which allows attackers to modify the stack and possibly gain privileges.",0.01772,0.76145,False,,,,,
CVE-2003-1562,7.6,HIGH,2003-12-31T05:00:00.000,"sshd in OpenSSH 3.6.1p2 and earlier, when PermitRootLogin is disabled and using PAM keyboard-interactive authentication, does not insert a delay after a root login attempt with the correct password, which makes it easier for remote attackers to use timing differences to determine if the password step of a multi-step authentication is successful, a different vulnerability than CVE-2003-0190.",0.05573,0.92161,False,,,,,
CVE-2004-0175,4.3,MEDIUM,2004-08-18T04:00:00.000,Directory traversal vulnerability in scp for OpenSSH before 3.4p1 allows remote malicious servers to overwrite arbitrary files.  NOTE: this may be a rediscovery of CVE-2000-0992.,0.0182,0.76795,False,,,,,
CVE-2004-1653,6.4,MEDIUM,2004-08-31T04:00:00.000,"The default configuration for OpenSSH enables AllowTcpForwarding, which could allow remote authenticated users to perform a port bounce, when configured with an anonymous access program such as AnonCVS.",0.11574,0.95644,False,,,,,
CVE-2004-2069,5.0,MEDIUM,2004-12-31T05:00:00.000,"sshd.c in OpenSSH 3.6.1p2 and 3.7.1p2 and possibly other versions, when using privilege separation, does not properly signal the non-privileged process when a session has been terminated after exceeding the LoginGraceTime setting, which leaves the connection open and allows remote attackers to cause a denial of service (connection consumption).",0.03366,0.87659,False,,,,,
CVE-2004-2414,2.1,LOW,2004-12-31T05:00:00.000,"Novell NetWare 6.5 SP 1.1, when installing or upgrading using the Overlay CDs and performing a custom installation with OpenSSH, includes sensitive password information in the (1) NIOUTPUT.TXT and (2) NI.LOG log files, which might allow local users to obtain the passwords.",0.00401,0.33108,False,,,,,
CVE-2004-2760,6.8,MEDIUM,2004-12-31T05:00:00.000,"sshd in OpenSSH 3.5p1, when PermitRootLogin is disabled, immediately closes the TCP connection after a root login attempt with the correct password, but leaves the connection open after an attempt with an incorrect password, which makes it easier for remote attackers to guess the password by observing the connection state, a different vulnerability than CVE-2003-0190.  NOTE: it could be argued that in most environments, this does not cross privilege boundaries without requiring leverage of a separate vulnerability.",0.08665,0.94626,False,,,,,
CVE-2005-2666,1.2,LOW,2005-08-23T04:00:00.000,"SSH, as implemented in OpenSSH before 4.0 and possibly other implementations, stores hostnames, IP addresses, and keys in plaintext in the known_hosts file, which makes it easier for an attacker that has compromised an SSH user's account to generate a list of additional targets that are more likely to have the same password or key.",0.01177,0.64789,False,,,,,
CVE-2005-2797,5.0,MEDIUM,2005-09-06T17:03:00.000,"OpenSSH 4.0, and other versions before 4.2, does not properly handle dynamic port forwarding (""-D"" option) when a listen address is not provided, which may cause OpenSSH to enable the GatewayPorts functionality.",0.02204,0.80952,False,,,,,
CVE-2005-2798,5.0,MEDIUM,2005-09-06T17:03:00.000,"sshd in OpenSSH before 4.2, when GSSAPIDelegateCredentials is enabled, allows GSSAPI credentials to be delegated to clients who log in using non-GSSAPI methods, which could cause those credentials to be exposed to untrusted users or hosts.",0.02299,0.81744,False,,,,,
CVE-2006-0225,4.6,MEDIUM,2006-01-25T11:03:00.000,"scp in OpenSSH 4.2p1 allows attackers to execute arbitrary commands via filenames that contain shell metacharacters or spaces, which are expanded twice.",0.0047,0.38447,False,,,,,
CVE-2006-0883,5.0,MEDIUM,2006-03-07T02:02:00.000,"OpenSSH on FreeBSD 5.3 and 5.4, when used with OpenPAM, does not properly handle when a forked child process terminates during PAM authentication, which allows remote attackers to cause a denial of service (client connection refusal) by connecting multiple times to the SSH server, waiting for the password prompt, then disconnecting.",0.01875,0.77518,False,,,,,
CVE-2006-0393,4.0,MEDIUM,2006-08-03T01:04:00.000,"OpenSSH in Apple Mac OS X 10.4.7 allows remote attackers to cause a denial of service or determine account existence by attempting to log in using an invalid user, which causes the server to hang.",0.02002,0.78973,False,,,,,
CVE-2006-4924,7.8,HIGH,2006-09-27T01:07:00.000,"sshd in OpenSSH before 4.4, when using the version 1 SSH protocol, allows remote attackers to cause a denial of service (CPU consumption) via an SSH packet that contains duplicate blocks, which is not properly handled by the CRC compensation attack detector.",0.34666,0.98275,False,,,,,
CVE-2006-5051,8.1,HIGH,2006-09-27T23:07:00.000,"Signal handler race condition in OpenSSH before 4.4 allows remote attackers to cause a denial of service (crash), and possibly execute arbitrary code if GSSAPI authentication is enabled, via unspecified vectors that lead to a double-free.",0.44963,0.98664,False,,,,,
CVE-2006-5052,5.0,MEDIUM,2006-09-27T23:07:00.000,"Unspecified vulnerability in portable OpenSSH before 4.4, when running on some platforms, allows remote attackers to determine the validity of usernames via unknown vectors involving a GSSAPI ""authentication abort.""",0.02801,0.85191,False,,,,,
CVE-2006-4925,5.0,MEDIUM,2006-09-29T00:07:00.000,"packet.c in ssh in OpenSSH allows remote attackers to cause a denial of service (crash) by sending an invalid protocol sequence with USERAUTH_SUCCESS before NEWKEYS, which causes newkeys[mode] to be NULL.",0.14744,0.96365,False,,,,,
CVE-2006-5229,2.6,LOW,2006-10-10T23:07:00.000,"OpenSSH portable 4.1 on SUSE Linux, and possibly other platforms and versions, and possibly under limited configurations, allows remote attackers to determine valid usernames via timing discrepancies in which responses take longer for valid usernames than invalid ones, as demonstrated by sshtime.  NOTE: as of 20061014, it appears that this issue is dependent on the use of manually-set passwords that causes delays when processing /etc/shadow due to an increased number of rounds.",0.54212,0.98917,False,,,,,
