cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2012-5622,6.8,MEDIUM,2012-12-18T01:55:07.680,Cross-site request forgery (CSRF) vulnerability in the management console (openshift-console/app/controllers/application_controller.rb) in OpenShift 0.0.5 allows remote attackers to hijack the authentication of arbitrary users via unspecified vectors.,0.00664,0.48542,False,,,,,
CVE-2012-5646,7.5,HIGH,2013-02-24T21:55:00.957,node-util/www/html/restorer.php in the Red Hat OpenShift Origin before 1.0.5-3 allows remote attackers to execute arbitrary commands via a crafted uuid in the PATH_INFO.,0.02204,0.80952,False,,,,,
CVE-2012-5647,5.8,MEDIUM,2013-02-24T21:55:01.003,Open redirect vulnerability in node-util/www/html/restorer.php in Red Hat OpenShift Origin before 1.0.5-3 allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via a URL in the PATH_INFO.,0.01471,0.71438,False,,,,,
CVE-2012-5658,2.1,LOW,2013-02-24T22:55:01.033,"rhc-chk.rb in Red Hat OpenShift Origin before 1.1, when -d (debug mode) is used, outputs the password and other sensitive information in cleartext, which allows context-dependent attackers to obtain sensitive information, as demonstrated by including log files or Bugzilla reports in support channels.",0.00359,0.28821,False,,,,,
CVE-2013-0164,3.6,LOW,2013-02-24T22:55:01.300,The lockwrap function in port-proxy/bin/openshift-port-proxy-cfg in Red Hat OpenShift Origin before 1.1 allows local users to overwrite arbitrary files via a symlink attack on a temporary file with a predictable name in /tmp.,0.00365,0.29479,False,,,,,
CVE-2014-0188,7.5,HIGH,2014-04-24T14:55:04.263,"The openshift-origin-broker in Red Hat OpenShift Enterprise 2.0.5, 1.2.7, and earlier does not properly handle authentication requests from the remote-user auth plugin, which allows remote attackers to bypass authentication and impersonate arbitrary users via the X-Remote-User header in a request to a passthrough trigger.",0.01667,0.74646,False,,,,,
CVE-2014-0164,2.1,LOW,2014-05-05T17:06:05.607,"openshift-origin-broker-util, as used in Red Hat OpenShift Enterprise 1.2.7 and 2.0.5, uses world-readable permissions for the mcollective client.cfg configuration file, which allows local users to obtain credentials and other sensitive information by reading the file.",0.00383,0.31303,False,,,,,
CVE-2014-3496,10.0,HIGH,2014-06-20T14:55:07.030,"cartridge_repository.rb in OpenShift Origin and Enterprise 1.2.8 through 2.1.1 allows remote attackers to execute arbitrary commands via shell metacharacters in a Source-Url ending with a (1) .tar.gz, (2) .zip, (3) .tgz, or (4) .tar file extension in a cartridge manifest file.",0.05085,0.91585,False,,,,,
CVE-2014-3602,2.1,LOW,2014-11-13T21:32:00.187,Red Hat OpenShift Enterprise before 2.2 allows local users to obtain IP address and port number information for remote systems by reading /proc/net/tcp.,0.00378,0.30797,False,,,,,
CVE-2014-3674,7.5,HIGH,2014-11-13T21:32:03.560,"Red Hat OpenShift Enterprise before 2.2 does not properly restrict access to gears, which allows remote attackers to access the network resources of arbitrary gears via unspecified vectors.",0.02019,0.79178,False,,,,,
CVE-2014-0233,6.5,MEDIUM,2014-11-16T11:59:01.603,Red Hat OpenShift Enterprise 2.0 and 2.1 and OpenShift Origin allow remote authenticated users to execute arbitrary commands via shell metacharacters in a directory name that is referenced by a cartridge using the file: URI scheme.,0.01734,0.75609,False,,,,,
CVE-2015-5222,8.5,HIGH,2015-08-24T14:59:07.557,"Red Hat OpenShift Enterprise 3.0.0.0 does not properly check permissions, which allows remote authenticated users with build permissions to execute arbitrary shell commands with root permissions on arbitrary build pods via unspecified vectors.",0.0269,0.84535,False,,,,,
CVE-2015-5250,4.0,MEDIUM,2015-09-08T15:59:07.797,The API server in OpenShift Origin 1.0.5 allows remote attackers to cause a denial of service (master process crash) via crafted JSON data.,0.01952,0.78431,False,,,,,
CVE-2015-5274,6.5,MEDIUM,2015-09-18T14:59:01.333,rubygem-openshift-origin-console in Red Hat OpenShift 2.2 allows remote authenticated users to execute arbitrary commands via a crafted request to the Broker.,0.0209,0.7993,False,,,,,
CVE-2015-5305,6.4,MEDIUM,2015-11-06T18:59:00.110,"Directory traversal vulnerability in Kubernetes, as used in Red Hat OpenShift Enterprise 3.0, allows attackers to write to arbitrary files via a crafted object type name, which is not properly handled before passing it to etcd.",0.01812,0.76681,False,,,,,
CVE-2016-1906,9.8,CRITICAL,2016-02-03T18:59:09.757,Openshift allows remote attackers to gain privileges by updating a build configuration that was created with an allowed type to a type that is not allowed.,0.04843,0.91216,False,,,,,
CVE-2016-2142,5.5,MEDIUM,2016-06-08T17:59:00.127,"Red Hat OpenShift Enterprise 3.1 uses world-readable permissions on the /etc/origin/master/master-config.yaml configuration file, which allows local users to obtain Active Directory credentials by reading the file.",0.0035,0.27924,False,,,,,
CVE-2016-2149,6.5,MEDIUM,2016-06-08T17:59:01.767,Red Hat OpenShift Enterprise 3.2 allows remote authenticated users to read log files from another namespace by using the same name as a previously deleted namespace when creating a new namespace.,0.01535,0.72573,False,,,,,
CVE-2016-2160,8.8,HIGH,2016-06-08T17:59:03.250,Red Hat OpenShift Enterprise 3.2 and OpenShift Origin allow remote authenticated users to execute commands with root privileges by changing the root password in an sti builder image.,0.0406,0.89744,False,,,,,
CVE-2016-3703,5.3,MEDIUM,2016-06-08T17:59:04.703,"Red Hat OpenShift Enterprise 3.2 and 3.1 do not properly validate the origin of a request when anonymous access is granted to a service/proxy or pod/proxy API for a specific pod, which allows remote attackers to access API credentials in the web browser localStorage via an access_token in the query parameter.",0.01185,0.65015,False,,,,,
CVE-2016-3708,7.1,HIGH,2016-06-08T17:59:05.750,"Red Hat OpenShift Enterprise 3.2, when multi-tenant SDN is enabled and a build is run in a namespace that would normally be isolated from pods in other namespaces, allows remote authenticated users to access network resources on restricted pods via an s2i build with a builder image that (1) contains ONBUILD commands or (2) does not contain a tar binary.",0.01118,0.632,False,,,,,
