cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2005-3771,4.3,MEDIUM,2005-11-23T00:03:00.000,"Multiple cross-site scripting (XSS) vulnerabilities in Joomla! before 1.0.4 allow remote attackers to inject arbitrary web script or HTML via (1) ""GET and other variables"" and (2) ""SEF"".",0.01296,0.67785,False,,,,,
CVE-2005-3772,7.5,HIGH,2005-11-23T00:03:00.000,Multiple SQL injection vulnerabilities in Joomla! before 1.0.4 allow remote attackers to execute arbitrary SQL commands via the (1) Itemid variable in the Polls modules and (2) multiple unspecified methods in the mosDBTable class.,0.01409,0.7023,False,,,,,
CVE-2005-3773,10.0,HIGH,2005-11-23T00:03:00.000,"Unspecified vulnerability in Joomla! before 1.0.4 has unknown impact and attack vectors, related to ""Potential misuse of Media component file management functions.""",0.01703,0.75176,False,,,,,
CVE-2005-4650,5.3,MEDIUM,2005-12-31T05:00:00.000,"Joomla! 1.03 does not restrict the number of ""Search"" Mambots, which allows remote attackers to cause a denial of service (resource consumption) via a large number of Search Mambots.",0.01626,0.74,False,,,,,
CVE-2006-0114,5.0,MEDIUM,2006-01-09T11:03:00.000,"The vCard functions in Joomla! 1.0.5 use predictable sequential IDs for vcards and do not restrict access to them, which allows remote attackers to obtain valid e-mail addresses to conduct spam attacks by modifying the contact_id parameter to index2.php.",0.01578,0.73265,False,,,,,
CVE-2006-0303,10.0,HIGH,2006-01-19T00:03:00.000,"Multiple unspecified vulnerabilities in the (1) publishing component, (2) Contact Component, (3) TinyMCE Compressor, and (4) other components in Joomla! 1.0.5 and earlier have unknown impact and attack vectors.",0.01375,0.69569,False,,,,,
CVE-2006-1027,5.0,MEDIUM,2006-03-07T00:02:00.000,"feedcreator.class.php (aka the syndication component) in Joomla! 1.0.7 allows remote attackers to obtain sensitive information via a ""/"" (slash) in the feed parameter to index.php, which reveals the path in an error message.",0.01392,0.69894,False,,,,,
CVE-2006-1028,7.8,HIGH,2006-03-07T00:02:00.000,feedcreator.class.php (aka the syndication component) in Joomla! 1.0.7 allows remote attackers to cause a denial of service (stressed file cache) by creating many files via filenames in the feed parameter to index.php.,0.01849,0.77186,False,,,,,
CVE-2006-1029,4.3,MEDIUM,2006-03-07T00:02:00.000,"The cross-site scripting (XSS) countermeasures in class.inputfilter.php in Joomla! 1.0.7 allow remote attackers to cause a denial of service via a crafted mosmsg parameter to index.php with a malformed sequence of multiple tags, as demonstrated using ""<<>AAA<><>"", possibly due to nested or empty tags.",0.01388,0.69832,False,,,,,
CVE-2006-1030,5.0,MEDIUM,2006-03-07T00:02:00.000,Unspecified vulnerability in mod_templatechooser in Joomla! 1.0.7 allows remote attackers to obtain sensitive information via an unspecified attack vector that reveals the path.,0.01392,0.69895,False,,,,,
CVE-2006-1047,10.0,HIGH,2006-03-07T11:02:00.000,"Unspecified vulnerability in the ""Remember Me login functionality"" in Joomla! 1.0.7 and earlier has unknown impact and attack vectors.",0.01942,0.7832,False,,,,,
CVE-2006-1048,5.0,MEDIUM,2006-03-07T11:02:00.000,"Joomla! 1.0.7 and earlier allows attackers to bypass intended access restrictions and gain certain privileges via certain attack vectors related to the (1) Weblink, (2) Polls, (3) Newsfeeds, (4) Weblinks, (5) Content, (6) Content Section, (7) Content Category, (8) Contact items, or (9) Contact Search, (10) Content Search, (11) Newsfeed Search, or (12) Weblink Search.",0.01215,0.65838,False,,,,,
CVE-2006-1049,7.5,HIGH,2006-03-07T11:02:00.000,Multiple SQL injection vulnerabilities in the Admin functionality in Joomla! 1.0.7 and earlier allow remote authenticated administrators to execute arbitrary SQL commands via unknown attack vectors.,0.01214,0.6582,False,,,,,
CVE-2006-1956,5.0,MEDIUM,2006-04-21T10:02:00.000,"The com_rss option (rss.php) in (1) Mambo and (2) Joomla! allows remote attackers to obtain sensitive information via an invalid feed parameter, which reveals the path in an error message.",0.01496,0.71861,False,,,,,
CVE-2006-1957,5.0,MEDIUM,2006-04-21T10:02:00.000,The com_rss option (rss.php) in (1) Mambo and (2) Joomla! allows remote attackers to cause a denial of service (disk consumption and possibly web-server outage) via multiple requests with different values of the feed parameter.,0.01658,0.74498,False,,,,,
CVE-2006-2815,6.8,MEDIUM,2006-06-05T17:02:00.000,"Multiple cross-site scripting (XSS) vulnerabilities in Two Shoes M-Factory (TSMF) SimpleBoard 1.1.0 Stable (aka com_simpleboard), as used in Mambo and Joomla!, allow remote attackers to inject arbitrary web script or HTML via (1) the Name field in ""post ne topic"" in the Frontend, (2) the Title (aka Community-Title) field in Simpleboard Configuration in the Backend Admin Panel, and the (3) Name (aka Forum-Title) and (4) Name (aka Category-Title) fields in Simpleboard Administration in the Backend Admin Panel.  NOTE: some sources have stated that the sb_authorname parameter is affected, but it is unclear which field is related to it.",0.01488,0.71745,False,,,,,
