cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-1999-1188,4.6,MEDIUM,1998-12-27T05:00:00.000,"mysqld in MySQL 3.21 creates log files with world-readable permissions, which allows local users to obtain passwords for users who are added to the user database.",0.00851,0.54975,False,,,,,
CVE-1999-0652,,,1999-01-01T05:00:00.000,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: None.  Reason: this candidate is solely about a configuration that does not directly introduce security vulnerabilities, so it is more appropriate to cover under the Common Configuration Enumeration (CCE).  Notes: the former description is: ""A database service is running, e.g. a SQL server, Oracle, or mySQL.",,,False,,,,,
CVE-2000-0045,6.4,MEDIUM,2000-01-11T05:00:00.000,MySQL allows local users to modify passwords for arbitrary MySQL users via the GRANT privilege.,0.06992,0.93558,False,,,,,
CVE-2000-0148,7.5,HIGH,2000-02-08T05:00:00.000,MySQL 3.22 allows remote attackers to bypass password authentication and access a database via a short check string.,0.04735,0.91053,False,,,,,
CVE-2000-0707,7.5,HIGH,2000-10-20T04:00:00.000,"PCCS MySQLDatabase Admin Tool Manager 1.2.4 and earlier installs the file dbconnect.inc within the web root, which allows remote attackers to obtain sensitive information such as the administrative password.",0.01612,0.73785,False,,,,,
CVE-2000-0957,7.5,HIGH,2000-12-19T05:00:00.000,"The pluggable authentication module for mysql (pam_mysql) before 0.4.7 does not properly cleanse user input when constructing SQL statements, which allows attackers to obtain plaintext passwords or hashes.",0.01209,0.65659,False,,,,,
CVE-2000-0981,7.2,HIGH,2000-12-19T05:00:00.000,MySQL Database Engine uses a weak authentication method which leaks information that could be used by a remote attacker to recover the password.,0.01935,0.78223,False,,,,,
CVE-2001-1044,7.5,HIGH,2001-01-11T05:00:00.000,"Basilix Webmail 0.9.7beta, and possibly other versions, stores *.class and *.inc files under the document root and does not restrict access, which could allows remote attackers to obtain sensitive information such as MySQL passwords and usernames from the mysql.class file.",0.06936,0.93514,False,,,,,
CVE-2001-1275,7.2,HIGH,2001-01-19T05:00:00.000,MySQL before 3.23.31 allows users with a MySQL account to use the SHOW GRANTS command to obtain the encrypted administrator password from the mysql.user table and possibly gain privileges via password cracking.,0.00533,0.42297,False,,,,,
CVE-2001-1274,7.5,HIGH,2001-01-23T05:00:00.000,Buffer overflow in MySQL before 3.23.31 allows attackers to cause a denial of service and possibly gain privileges.,0.05428,0.91989,False,,,,,
CVE-2001-1453,7.5,HIGH,2001-02-09T05:00:00.000,Buffer overflow in libmysqlclient.so in MySQL 3.23.33 and earlier allows remote attackers to execute arbitrary code via a long host parameter.,0.11295,0.95578,False,,,,,
CVE-2001-1454,7.5,HIGH,2001-02-09T05:00:00.000,Buffer overflow in MySQL before 3.23.33 allows remote attackers to execute arbitrary code via a long drop database request.,0.09632,0.9504,False,,,,,
