cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2019-10756,5.4,MEDIUM,2019-10-08T19:15:09.823,It is possible to inject JavaScript within node-red-dashboard versions prior to version 2.17.0 due to the ui_notification node accepting raw HTML by default.,0.0057,0.44283,False,,,,,
CVE-2019-15607,5.4,MEDIUM,2020-01-28T03:15:10.777,"A stored XSS vulnerability is present within node-red (version: <= 0.20.7) npm package, which is a visual tool for wiring the Internet of Things. This issue will allow the attacker to steal session cookies, deface web applications, etc.",0.00644,0.47686,False,,,,,
CVE-2021-25864,7.5,HIGH,2021-01-26T18:16:21.897,"node-red-contrib-huemagic 3.0.0 is affected by hue/assets/..%2F Directory Traversal.in the res.sendFile API, used in file hue-magic.js, to fetch an arbitrary file.",0.09331,0.94924,False,,,,,
CVE-2021-3223,7.5,HIGH,2021-01-26T18:16:28.757,Node-RED-Dashboard before 2.26.2 allows ui_base/js/..%2f directory traversal to read files.,0.18512,0.96984,False,,,,,
CVE-2021-21297,7.7,HIGH,2021-02-26T17:15:12.210,Node-Red is a low-code programming for event-driven applications built using nodejs. Node-RED 1.2.7 and earlier contains a Prototype Pollution vulnerability in the admin API. A badly formed request can modify the prototype of the default JavaScript Object with the potential to affect the default behaviour of the Node-RED runtime. The vulnerability is patched in the 1.2.8 release. A workaround is to ensure only authorized users are able to access the editor url.,0.01397,0.69983,False,,,,,
CVE-2021-21298,3.5,LOW,2021-02-26T17:15:12.337,"Node-Red is a low-code programming for event-driven applications built using nodejs. Node-RED 1.2.7 and earlier has a vulnerability which allows arbitrary path traversal via the Projects API. If the Projects feature is enabled, a user with `projects.read` permission is able to access any file via the Projects API. The issue has been patched in Node-RED 1.2.8. The vulnerability applies only to the Projects feature which is not enabled by default in Node-RED. The primary workaround is not give untrusted users read access to the Node-RED editor.",0.01177,0.64782,False,,,,,
CVE-2021-29469,5.3,MEDIUM,2021-04-23T18:15:08.303,"Node-redis is a Node.js Redis client. Before version 3.1.1, when a client is in monitoring mode, the regex begin used to detected monitor messages could cause exponential backtracking on some strings. This issue could lead to a denial of service. The issue is patched in version 3.1.1.",0.01674,0.74742,False,,,,,
CVE-2022-3783,3.5,LOW,2022-10-31T21:15:12.413,"A vulnerability, which was classified as problematic, has been found in node-red-dashboard. This issue affects some unknown processing of the file components/ui-component/ui-component-ctrl.js of the component ui_text Format Handler. The manipulation leads to cross site scripting. The attack may be initiated remotely. The name of the patch is 9305d1a82f19b235dfad24a7d1dd4ed244db7743. It is recommended to apply a patch to fix this issue. The associated identifier of this vulnerability is VDB-212555.",0.00615,0.46399,False,,,,,
CVE-2021-26504,7.5,HIGH,2023-08-11T14:15:12.187,"Directory Traversal vulnerability in Foddy node-red-contrib-huemagic version 3.0.0, allows remote attackers to gain sensitive information via crafted request in res.sendFile API in hue-magic.js.",0.01418,0.70396,False,,,,,
CVE-2025-24522,10.0,CRITICAL,2025-05-01T19:15:57.097,KUNBUS Revolution Pi OS Bookworm 01/2025 is vulnerable because authentication is not configured by default for the Node-RED server. This can give an unauthenticated remote attacker full access to the Node-RED server where they can run arbitrary commands on the underlying operating system.,0.00766,0.5227,False,,,,,
CVE-2026-25938,9.8,CRITICAL,2026-02-09T23:16:06.100,"FUXA is a web-based Process Visualization (SCADA/HMI/Dashboard) software. From 1.2.8 through 1.2.10, an authentication bypass vulnerability in FUXA allows an unauthenticated, remote attacker to execute arbitrary code on the server when the Node-RED plugin is enabled. This has been patched in FUXA version 1.2.11.",0.00977,0.59016,False,,,,,
CVE-2026-58478,6.5,MEDIUM,2026-07-14T15:17:06.753,Sustainable Irrigation Platform (SIP) through version 5.2.16 contains a server-side request forgery (SSRF) vulnerability that allows unauthenticated attackers to make the device issue arbitrary HTTP requests by supplying a malicious callback URL when the optional Node-RED plugin is installed. Attackers can exploit the lack of destination validation and the default passphrase 'opendoor' to send blind HTTP requests to arbitrary internal or external hosts not otherwise directly accessible.,0.00261,0.1783,False,,,,,
CVE-2026-43945,,,2026-07-21T22:17:01.250,FUXA is a web-based Process Visualization (SCADA/HMI/Dashboard) software. Versions 1.2.11 until 1.3.1 allow an unauthenticated remote attacker to achieve Full Remote Code Execution (RCE) as root. The exploit succeeds even when the platform is configured in its most secure state (Secure Mode Enabled and Node-RED Secure Auth Enabled). Version 1.3.1 fixes the issue.,0.00862,0.55338,False,,,,,
CVE-2026-71269,7.2,HIGH,2026-08-05T13:24:51.207,"Node-RED's local-filesystem library storage module (getLibraryEntry and saveLibraryEntry in packages/node_modules/@node-red/runtime/lib/storage/localfilesystem/library.js), reachable via GET/POST /library/:lib/:type/*path, joins the user-supplied path parameter directly into the filesystem path via fspath.join(libDir, type, path) with no traversal sanitization, containment check, or path normalization/prefix verification.",0.00381,0.31038,False,,,,,
CVE-2026-58115,10.0,CRITICAL,2026-08-11T13:19:00.190,"A vulnerability has been identified in SIMATIC IoT2050 Advanced (6ES7647-0BA00-1YA2) (All versions < V4.3.4.1 running Industrial OS with Node-RED installed). Affected devices do not enforce authentication on the Node-RED HTTP interface, allowing unauthenticated access to programming nodes that are capable of executing system commands on the server.
This could allow an unauthenticated remote attacker to create malicious flows through the HTTP interface in order to execute arbitrary code on the underlying server with maximum privileges.",0.00654,0.48136,False,,,,,
