cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-1999-1015,5.0,MEDIUM,1998-04-08T04:00:00.000,Buffer overflow in Apple AppleShare Mail Server 5.0.3 on MacOS 8.1 and earlier allows a remote attacker to cause a denial of service (crash) via a long HELO command.,0.0594,0.92596,False,,,,,
CVE-1999-1113,5.0,MEDIUM,1998-04-14T04:00:00.000,Buffer overflow in Eudora Internet Mail Server (EIMS) 2.01 and earlier on MacOS systems allows remote attackers to cause a denial of service via a long USER command to port 106.,0.05522,0.9209,False,,,,,
CVE-1999-1412,5.0,MEDIUM,1999-06-03T04:00:00.000,"A possible interaction between Apple MacOS X release 1.0 and Apache HTTP server allows remote attackers to cause a denial of service (crash) via a flood of HTTP GET requests to CGI programs, which generates a large number of processes.",0.35342,0.98303,False,,,,,
CVE-1999-1543,4.6,MEDIUM,1999-07-10T04:00:00.000,MacOS uses weak encryption for passwords that are stored in the Users & Groups Data File.,0.00827,0.54251,False,,,,,
CVE-1999-1076,4.6,MEDIUM,1999-10-26T04:00:00.000,"Idle locking function in MacOS 9 allows local users to bypass the password protection of idled sessions by selecting the ""Log Out"" option and selecting a ""Cancel"" option in the dialog box for an application that attempts to verify that the user wants to log out, which returns the attacker into the locked session.",0.00451,0.37269,False,,,,,
CVE-1999-1077,4.6,MEDIUM,1999-11-01T05:00:00.000,"Idle locking function in MacOS 9 allows local attackers to bypass the password protection of idled sessions via the programmer's switch or CMD-PWR keyboard sequence, which brings up a debugger that the attacker can use to disable the lock.",0.00451,0.37269,False,,,,,
CVE-1999-1528,4.6,MEDIUM,1999-11-14T05:00:00.000,"ProSoft Netware Client 5.12 on Macintosh MacOS 9 does not automatically log a user out of the NDS tree when the user logs off the system, which allows other users of the same system access to the unprotected NDS session.",0.0033,0.25711,False,,,,,
CVE-2000-0563,10.0,HIGH,2000-10-20T04:00:00.000,"The URLConnection function in MacOS Runtime Java (MRJ) 2.1 and earlier and the Microsoft virtual machine (VM) for MacOS allows a malicious web site operator to connect to arbitrary hosts using a HTTP redirection, in violation of the Java security model.",0.0259,0.83897,False,,,,,
CVE-2001-0766,9.8,CRITICAL,2001-10-18T04:00:00.000,Apache on MacOS X Client 10.0.3 with the HFS+ file system allows remote attackers to bypass access restrictions via a URL that contains some characters whose case is not matched by Apache's filters.,0.08161,0.94338,False,,,,,
CVE-2001-0921,2.1,LOW,2001-11-21T05:00:00.000,"Netscape 4.79 and earlier for MacOS allows an attacker with access to the browser to obtain passwords from form fields by printing the document into which the password has been typed, which is printed in cleartext.",0.00614,0.46362,False,,,,,
CVE-2001-0806,3.6,LOW,2001-12-06T05:00:00.000,Apple MacOS X 10.0 and 10.1 allow a local user to read and write to a user's desktop folder via insecure default permissions for the Desktop when it is created in some languages.,0.00341,0.27017,False,,,,,
CVE-2001-1565,2.1,LOW,2001-12-31T05:00:00.000,"Point to Point Protocol daemon (pppd) in MacOS x 10.0 and 10.1 through 10.1.5 provides the username and password on the command line, which allows local users to obtain authentication information via the ps command.",0.00343,0.27201,False,,,,,
CVE-2002-0676,7.5,HIGH,2002-07-11T04:00:00.000,"SoftwareUpdate for MacOS 10.1.x does not use authentication when downloading a software update, which could allow remote attackers to execute arbitrary code by posing as the Apple update server via techniques such as DNS spoofing or cache poisoning, and supplying Trojan Horse updates.",0.04273,0.90204,False,,,,,
CVE-2002-1773,7.5,HIGH,2002-12-31T05:00:00.000,Buffer overflow in ICQ 2.6x for MacOS X 10.0 through 10.1.2 allows remote attackers to cause a denial of service and possibly execute arbitrary code via a long request.,0.05485,0.92052,False,,,,,
CVE-2002-2169,5.0,MEDIUM,2002-12-31T05:00:00.000,"Cross-site scripting vulnerability AOL Instant Messenger (AIM) 4.5 and 4.7 for MacOS and Windows allows remote attackers to conduct unauthorized activities, such as adding buddies and groups to a user's buddy list, via a URL with a META HTTP-EQUIV=""refresh"" tag to an aim: URL.",0.0238,0.82381,False,,,,,
CVE-2003-0088,7.2,HIGH,2003-03-03T05:00:00.000,TruBlueEnvironment for MacOS 10.2.3 and earlier allows local users to overwrite or create arbitrary files and gain root privileges by setting a certain environment variable that is used to write debugging information.,0.0038,0.30963,False,,,,,
CVE-2002-1491,5.0,MEDIUM,2003-04-02T05:00:00.000,"The Cisco VPN 5000 Client for MacOS before 5.2.2 records the most recently used login password in plaintext when saving ""Default Connection"" settings, which could allow local users to gain privileges.",0.0116,0.64288,False,,,,,
CVE-2003-0171,7.2,HIGH,2003-05-05T04:00:00.000,"DirectoryServices in MacOS X trusts the PATH environment variable to locate and execute the touch command, which allows local users to execute arbitrary commands by modifying the PATH to point to a directory containing a malicious touch program.",0.00907,0.56761,False,,,,,
CVE-2003-0490,7.2,HIGH,2003-08-07T04:00:00.000,"The installation of Dantz Retrospect Client 5.0.540 on MacOS X 10.2.6, and possibly other versions, creates critical directories and files with world-writable permissions, which allows local users to gain privileges as other users by replacing programs with malicious code.",0.00345,0.27374,False,,,,,
CVE-2003-0518,4.6,MEDIUM,2003-08-18T04:00:00.000,"The screen saver in MacOS X allows users with physical access to cause the screen saver to crash and gain access to the underlying session via a large number of characters in the password field, possibly triggering a buffer overflow.",0.00383,0.31304,False,,,,,
CVE-2001-1412,2.1,LOW,2003-11-17T05:00:00.000,nidump on MacOS X before 10.3 allows local users to read the encrypted passwords from the password file by specifying passwd as a command line argument.,0.0103,0.60652,False,,,,,
CVE-2004-0169,5.0,MEDIUM,2004-03-15T05:00:00.000,"QuickTime Streaming Server in MacOS X 10.2.8 and 10.3.2 allows remote attackers to cause a denial of service (crash) via DESCRIBE requests with long User-Agent fields, which causes an Assert error to be triggered in the BufferIsFull function.",0.03474,0.88031,False,,,,,
CVE-2004-1753,2.6,LOW,2004-12-31T05:00:00.000,"The Apple Java plugin, as used in Netscape 7.1 and 7.2, Mozilla 1.7.2, and Firefox 0.9.3 on MacOS X 10.3.5, when tabbed browsing is enabled, does not properly handle SetWindow(NULL) calls, which allows Java applets from one tab to draw to other tabs and facilitates phishing attacks that spoof tabs.",0.01596,0.73535,False,,,,,
CVE-2007-3184,7.2,HIGH,2007-06-12T21:30:00.000,"Cisco Trust Agent (CTA) before 2.1.104.0, when running on MacOS X, allows attackers with physical access to bypass authentication and modify System Preferences, including passwords, by invoking the Apple Menu when the Access Control Server (ACS) produces a user notification message after posture validation.",0.00628,0.46965,False,,,,,
CVE-2007-6456,10.0,HIGH,2007-12-20T00:46:00.000,Unspecified vulnerability in OpenOffice.org code in Planamesa NeoOffice 2.2.2 before Patch 4 has unknown impact and attack vectors related to MacOS 10.3.9 .odb files.  NOTE: it is not clear whether this issue is a vulnerability.,0.01488,0.71731,False,,,,,
CVE-2016-4617,8.8,HIGH,2017-02-20T08:59:00.213,"An issue was discovered in certain Apple products. macOS before 10.12 is affected. The issue involves a sandbox escape related to launchctl process spawning in the ""libxpc"" component.",0.00299,0.22331,False,,,,,
CVE-2016-4660,7.1,HIGH,2017-02-20T08:59:00.243,"An issue was discovered in certain Apple products. iOS before 10.1 is affected. macOS before 10.12.1 is affected. tvOS before 10.0.1 is affected. watchOS before 3.1 is affected. The issue involves the ""FontParser"" component. It allows remote attackers to obtain sensitive information or cause a denial of service (out-of-bounds read and application crash) via a crafted font.",0.01722,0.75445,False,,,,,
CVE-2016-4661,5.5,MEDIUM,2017-02-20T08:59:00.290,"An issue was discovered in certain Apple products. macOS before 10.12.1 is affected. The issue involves the ""ntfs"" component, which misparses disk images and allows attackers to cause a denial of service via a crafted app.",0.00787,0.52932,False,,,,,
CVE-2016-4662,7.8,HIGH,2017-02-20T08:59:00.307,"An issue was discovered in certain Apple products. macOS before 10.12.1 is affected. The issue involves the ""AppleGraphicsControl"" component. It allows attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via a crafted app.",0.01253,0.66786,False,,,,,
