cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2009-3200,5.9,MEDIUM,2009-09-21T19:30:00.420,"The QNAP TS-239 Pro and TS-639 Pro with firmware 2.1.7 0613, 3.1.0 0627, and 3.1.1 0815 create an undocumented recovery key and store it in the ENCK variable in flash memory, which allows local users to bypass the passphrase requirement and decrypt the hard drive by reading this variable, deobfuscating the key, and running a cryptsetup luksOpen command.",0.00404,0.33496,False,,,,,
CVE-2009-3278,5.5,MEDIUM,2009-09-21T19:30:00.610,"The QNAP TS-239 Pro and TS-639 Pro with firmware 2.1.7 0613, 3.1.0 0627, and 3.1.1 0815 use the rand library function to generate a certain recovery key, which makes it easier for local users to determine this key via a brute-force attack.",0.00408,0.33803,False,,,,,
CVE-2009-3279,4.9,MEDIUM,2009-09-21T19:30:00.640,"The QNAP TS-239 Pro and TS-639 Pro with firmware 2.1.7 0613, 3.1.0 0627, and 3.1.1 0815 create a LUKS partition by using the AES-256 cipher in plain CBC mode, which allows local users to obtain sensitive information via a watermark attack.",0.00379,0.3088,False,,,,,
CVE-2013-0142,5.0,MEDIUM,2013-06-07T20:55:01.317,"QNAP VioStor NVR devices with firmware 4.0.3, and the Surveillance Station Pro component in QNAP NAS, have a hardcoded guest account, which allows remote attackers to obtain web-server login access via unspecified vectors.",0.01308,0.68022,False,,,,,
CVE-2013-0143,6.5,MEDIUM,2013-06-07T20:55:01.347,"cgi-bin/pingping.cgi on QNAP VioStor NVR devices with firmware 4.0.3, and in the Surveillance Station Pro component in QNAP NAS, allows remote authenticated users to execute arbitrary commands by leveraging guest access and placing shell metacharacters in the query string.",0.06965,0.93535,False,,,,,
CVE-2013-0144,6.8,MEDIUM,2013-06-07T20:55:01.370,Cross-site request forgery (CSRF) vulnerability in cgi-bin/create_user.cgi on QNAP VioStor NVR devices with firmware 4.0.3 allows remote attackers to hijack the authentication of administrators for requests that create administrative accounts via a NEW USER action.,0.00619,0.4656,False,,,,,
CVE-2013-7174,7.8,HIGH,2014-01-09T18:07:26.347,Absolute path traversal vulnerability in cgi-bin/jc.cgi in QNAP QTS before 4.1.0 allows remote attackers to read arbitrary files via a full pathname in the f parameter.,0.0206,0.79607,False,,,,,
CVE-2013-5760,5.0,MEDIUM,2014-06-09T19:55:09.757,QNAP Photo Station before firmware 4.0.3 build0912 allows remote attackers to list OS user accounts via a request to photo/p/api/list.php.,0.01264,0.67056,False,,,,,
CVE-2014-5457,2.1,LOW,2014-08-25T16:55:05.697,"QNAP TS-469U with firmware 4.0.7 Build 20140410, TS-459U, TS-EC1679U-RP, and SS-839 use world-readable permissions for /etc/config/shadow, which allows local users to obtain usernames and hashed passwords by reading the password.",0.00333,0.26103,False,,,,,
CVE-2015-6003,9.3,HIGH,2015-10-16T01:59:04.590,"Directory traversal vulnerability in QNAP QTS before 4.1.4 build 0910 and 4.2.x before 4.2.0 RC2 build 0910, when AFP is enabled, allows remote attackers to read or write to arbitrary files by leveraging access to an OS X (1) user or (2) guest account.",0.04077,0.89782,False,,,,,
