cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2017-17697,8.6,HIGH,2017-12-15T09:29:00.437,The Ping() function in ui/api/target.go in Harbor through 1.3.0-rc4 has SSRF via the endpoint parameter to /api/targets/ping.,0.01389,0.69835,False,,,,,
CVE-2019-16097,6.5,MEDIUM,2019-09-08T16:15:11.820,"core/api/user.go in Harbor 1.7.0 through 1.8.2 allows non-admin users to create admin accounts via the POST /api/users API, when Harbor is setup with DB as authentication backend and allow user to do self-registration. Fixed version: v1.7.6 v1.8.3. v.1.9.0. Workaround without applying the fix: configure Harbor to use non-DB authentication backend such as LDAP.",0.22443,0.97482,False,,,,,
CVE-2019-16919,7.5,HIGH,2019-10-18T12:15:10.190,Harbor API has a Broken Access Control vulnerability. The vulnerability allows project administrators to use the Harbor API to create a robot account with unauthorized push and/or pull access permissions to a project they don't have access or control for. The Harbor API did not enforce the proper project permissions and project scope on the API request to create a new robot account.,0.01711,0.753,False,,,,,
CVE-2019-3990,4.3,MEDIUM,2019-12-03T17:15:11.727,"A User Enumeration flaw exists in Harbor. The issue is present in the ""/users"" API endpoint. This endpoint is supposed to be restricted to administrators. This restriction is able to be bypassed and information can be obtained about registered users can be obtained via the ""search"" functionality.",0.01037,0.60855,False,,,,,
CVE-2019-19023,8.8,HIGH,2020-03-20T03:15:13.090,Cloud Native Computing Foundation Harbor prior to 1.8.6 and 1.9.3 has a Privilege Escalation Vulnerability in the VMware Harbor Container Registry for the Pivotal Platform.,0.01618,0.73875,False,,,,,
CVE-2019-19025,8.8,HIGH,2020-03-20T03:15:13.200,Cloud Native Computing Foundation Harbor prior to 1.8.6 and 1.9.3 allows CSRF in the VMware Harbor Container Registry for the Pivotal Platform.,0.0102,0.60331,False,,,,,
CVE-2019-19026,4.9,MEDIUM,2020-03-20T03:15:13.310,Cloud Native Computing Foundation Harbor prior to 1.8.6 and 1.9.3 allows SQL Injection via project quotas in the VMware Harbor Container Registry for the Pivotal Platform.,0.01424,0.70518,False,,,,,
CVE-2019-19029,7.2,HIGH,2020-03-20T03:15:13.373,Cloud Native Computing Foundation Harbor prior to 1.8.6 and 1.9.3 allows SQL Injection via user-groups in the VMware Harbor Container Registry for the Pivotal Platform.,0.02104,0.80075,False,,,,,
CVE-2020-13788,4.3,MEDIUM,2020-07-15T21:15:12.300,Harbor prior to 2.0.1 allows SSRF with this limitation: an attacker with the ability to edit projects can scan ports of hosts accessible on the Harbor server's intranet.,0.01278,0.67392,False,,,,,
CVE-2020-13794,4.3,MEDIUM,2020-09-30T18:15:21.193,Harbor 1.9.* 1.10.* and 2.0.* allows Exposure of Sensitive Information to an Unauthorized Actor.,0.01266,0.67121,False,,,,,
