cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2013-5919,5.0,MEDIUM,2014-05-30T14:55:08.397,Suricata before 1.4.6 allows remote attackers to cause a denial of service (crash) via a malformed SSL record.,0.01604,0.73665,False,,,,,
CVE-2014-4694,4.3,MEDIUM,2014-07-02T10:35:26.127,Multiple cross-site scripting (XSS) vulnerabilities in suricata_select_alias.php in the Suricata package before 1.0.6 for pfSense through 2.1.4 allow remote attackers to inject arbitrary web script or HTML via unspecified variables.,0.01661,0.7456,False,,,,,
CVE-2014-4696,5.8,MEDIUM,2014-07-02T10:35:26.207,Multiple open redirect vulnerabilities in the Suricata package before 1.0.6 for pfSense through 2.1.4 allow remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via (1) the referer parameter to suricata_rules_flowbits.php or (2) the returl parameter to suricata_select_alias.php.,0.02067,0.7969,False,,,,,
CVE-2014-6603,5.0,MEDIUM,2014-10-07T14:55:07.517,"The SSHParseBanner function in SSH parser (app-layer-ssh.c) in Suricata before 2.0.4 allows remote attackers to bypass SSH rules, cause a denial of service (crash), or possibly have unspecified other impact via a crafted banner, which triggers a large memory allocation or an out-of-bounds write.",0.03242,0.8718,False,,,,,
CVE-2015-0971,5.0,MEDIUM,2015-05-14T14:59:06.840,The DER parser in Suricata before 2.0.8 allows remote attackers to cause a denial of service (crash) via vectors related to SSL/TLS certificates.,0.01134,0.6361,False,,,,,
CVE-2014-9769,7.3,HIGH,2016-03-28T16:59:00.113,"pcre_jit_compile.c in PCRE 8.35 does not properly use table jumps to optimize nested alternatives, which allows remote attackers to cause a denial of service (stack memory corruption) or possibly have unspecified other impact via a crafted string, as demonstrated by packets encountered by Suricata during use of a regular expression in an Emerging Threats Open ruleset.",0.02351,0.82184,False,,,,,
CVE-2017-7177,7.5,HIGH,2017-03-18T20:59:00.173,Suricata before 3.2.1 has an IPv4 defragmentation evasion issue caused by lack of a check for the IP protocol during fragment matching.,0.01256,0.66867,False,,,,,
CVE-2015-8954,9.8,CRITICAL,2017-03-20T16:59:01.407,"The MemcmpLowercase function in Suricata before 2.0.6 improperly excludes the first byte from comparisons, which might allow remote attackers to bypass intrusion-prevention functionality via a crafted HTTP request.",0.03258,0.87249,False,,,,,
CVE-2017-15377,7.5,HIGH,2017-10-23T08:29:00.430,"In Suricata before 4.x, it was possible to trigger lots of redundant checks on the content of crafted network traffic with a certain signature, because of DetectEngineContentInspection in detect-engine-content-inspection.c. The search engine doesn't stop when it should after no match is found; instead, it stops only upon reaching inspection-recursion-limit (3000 by default).",0.01965,0.78562,False,,,,,
CVE-2018-6794,5.3,MEDIUM,2018-02-07T05:29:00.260,"Suricata before 4.0.4 is prone to an HTTP detection bypass vulnerability in detect.c and stream-tcp.c. If a malicious server breaks a normal TCP flow and sends data before the 3-way handshake is complete, then the data sent by the malicious server will be accepted by web clients such as a web browser or Linux CLI utilities, but ignored by Suricata IDS signatures. This mostly affects IDS signatures for the HTTP protocol and TCP stream content; signatures for TCP packets will inspect such network traffic as usual.",0.24289,0.97659,False,,,,,
