Issue Type,Epic Name,Epic Link,Summary,Description,Story Points,Labels,Sprint,Priority
Epic,Data Pipeline & Vulnerability Ingestion,,Data Pipeline & Vulnerability Ingestion,,,data,Sprint 1,Medium
Story,,Data Pipeline & Vulnerability Ingestion,Decide CVE-to-asset mapping method,Choose CPE-based NVD query vs. curated CVE list. Unresolved decision that blocks the rest of the ingestion epic - tackle first.,2,data,Sprint 1,Highest
Story,,Data Pipeline & Vulnerability Ingestion,Build NVD API client,Fetch CVE records and CVSS scores from the NVD API.,3,data,Sprint 1,Medium
Story,,Data Pipeline & Vulnerability Ingestion,Integrate FIRST.org EPSS API,Fetch and merge exploitation-likelihood (EPSS) scores.,2,data,Sprint 1,Medium
Story,,Data Pipeline & Vulnerability Ingestion,Integrate CISA KEV feed,Flag actively-exploited CVEs using the CISA Known Exploited Vulnerabilities feed.,2,data,Sprint 1,Medium
Story,,Data Pipeline & Vulnerability Ingestion,Combine feeds into one clean DataFrame,"Merge NVD, EPSS, and KEV data into a single clean pandas DataFrame.",2,data,Sprint 1,Medium
Epic,Asset Graph Setup,,Asset Graph Setup,,,data,Sprint 1,Medium
Story,,Asset Graph Setup,Author the asset CSV,"Create 15-20 fictional assets with connections, criticality tags, and crown-jewel designation.",2,data,Sprint 1,Medium
Story,,Asset Graph Setup,Build networkx graph loader,Load the asset CSV into a networkx graph.,2,data,Sprint 1,Medium
Story,,Asset Graph Setup,Implement hop-distance calculation,Calculate hop-distance from each asset to the crown jewel.,3,data,Sprint 1,Medium
Story,,Asset Graph Setup,Map hop-distance into importance tiers,"0-1 hop = critical, 2-3 = high, 4-5 = medium, 6+ = low.",1,data,Sprint 1,Medium
Epic,Agile Process,,Agile Process,,,docs,Sprint 1,Medium
Story,,Agile Process,Sprint 1 planning session,Plan sprint scope and tickets.,1,docs,Sprint 1,Medium
Story,,Agile Process,Sprint 1 standups,Daily/regular standup check-ins for the sprint.,1,docs,Sprint 1,Medium
Story,,Agile Process,Sprint 1 review + retro,Sprint review and retrospective.,1,docs,Sprint 1,Medium
