cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2008-6568,6.8,MEDIUM,2009-03-31T17:30:00.530,"Unrestricted file upload vulnerability in Yehe 2.0 allows remote attackers to execute arbitrary code by uploading a file with an executable extension, then accessing it via a direct request to the file in the envoyer feature.  NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.",0.01899,0.77806,False,,,,,
CVE-2019-7676,7.2,HIGH,2019-02-09T22:29:00.510,A weak password vulnerability was discovered in Enphase Envoy R3.*.*. One can login via TCP port 8888 with the admin password for the admin account.,0.01686,0.74948,False,,,,,
CVE-2019-7677,6.1,MEDIUM,2019-02-09T22:29:00.573,XSS exists in Enphase Envoy R3.*.* via the profileName parameter to the /home URI on TCP port 8888.,0.00902,0.56561,False,,,,,
CVE-2019-7678,9.8,CRITICAL,2019-02-09T22:29:00.637,"A directory traversal vulnerability was discovered in Enphase Envoy R3.*.* via images/, include/, include/js, or include/css on TCP port 8888.",0.02486,0.83165,False,,,,,
CVE-2018-17499,2.9,LOW,2019-03-21T16:00:26.093,"Envoy Passport for Android and Envoy Passport for iPhone could allow a local attacker to obtain sensitive information, caused by the storing of unencrypted data in logs. An attacker could exploit this vulnerability to obtain two API keys, a token and other sensitive information.",0.00206,0.10843,False,,,,,
CVE-2018-17500,2.9,LOW,2019-03-21T16:00:26.217,"Envoy Passport for Android and Envoy Passport for iPhone could allow a local attacker to obtain sensitive information, caused by the storing of hardcoded OAuth Creds in plaintext. An attacker could exploit this vulnerability to obtain sensitive information.",0.00272,0.19402,False,,,,,
CVE-2019-9900,8.3,HIGH,2019-04-25T15:29:01.497,"When parsing HTTP/1.x header values, Envoy 1.9.0 and before does not reject embedded zero characters (NUL, ASCII 0x0). This allows remote attackers crafting header values containing embedded NUL characters to potentially bypass header matching rules, gaining access to unauthorized resources.",0.03732,0.88839,False,,,,,
CVE-2019-9901,6.5,MEDIUM,2019-04-25T16:29:01.200,"Envoy 1.9.0 and before does not normalize HTTP URL paths. A remote attacker may craft a relative path, e.g., something/../admin, to bypass access control, e.g., a block on /admin. A backend server could then interpret the non-normalized path and provide an attacker access beyond the scope provided for by the access control policy.",0.04951,0.91392,False,,,,,
CVE-2019-12995,7.5,HIGH,2019-06-28T10:15:11.487,"Istio before 1.2.2 mishandles certain access tokens, leading to ""Epoch 0 terminated with an error"" in Envoy. This is related to a jwt_authenticator.cc segmentation fault.",0.02193,0.80839,False,,,,,
CVE-2019-15225,7.5,HIGH,2019-08-19T23:15:10.680,"In Envoy through 1.11.1, users may configure a route to match incoming path headers via the libstdc++ regular expression implementation. A remote attacker may send a request with a very long URI to result in a denial of service (memory consumption). This is a related issue to CVE-2019-14993.",0.03417,0.87821,False,,,,,
CVE-2019-15226,7.5,HIGH,2019-10-09T16:15:14.687,"Upon receiving each incoming request header data, Envoy will iterate over existing request headers to verify that the total size of the headers stays below a maximum limit. The implementation in versions 1.10.0 through 1.11.1 for HTTP/1.x traffic and all versions of Envoy for HTTP/2 traffic had O(n^2) performance characteristics. A remote attacker may craft a request that stays below the maximum request header size but consists of many thousands of small headers to consume CPU and result in a denial-of-service attack.",0.65393,0.9919,False,,,,,
CVE-2019-18836,7.5,HIGH,2019-11-11T01:15:10.210,"Envoy 1.12.0 allows a remote denial of service because of resource loops, as demonstrated by a single idle TCP connection being able to keep a worker thread in an infinite busy loop when continue_on_listener_filters_timeout is used.""",0.01938,0.78279,False,,,,,
CVE-2019-18801,9.8,CRITICAL,2019-12-13T13:15:11.303,An issue was discovered in Envoy 1.12.0. An untrusted remote client may send HTTP/2 requests that write to the heap outside of the request buffers when the upstream is HTTP/1. This may be used to corrupt nearby heap contents (leading to a query-of-death scenario) or may be used to bypass Envoy's access control mechanisms such as path based routing. An attacker can also modify requests from other users that happen to be proximal temporally and spatially.,0.02502,0.83274,False,,,,,
