cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2011-2720,5.0,MEDIUM,2011-08-05T21:55:06.107,"The autocompletion functionality in GLPI before 0.80.2 does not blacklist certain username and password fields, which allows remote attackers to obtain sensitive information via a crafted POST request.",0.0285,0.85452,False,,,,,
CVE-2012-1037,6.5,MEDIUM,2012-07-12T20:55:10.873,PHP remote file inclusion vulnerability in front/popup.php in GLPI 0.78 through 0.80.61 allows remote authenticated users to execute arbitrary PHP code via a URL in the sub_type parameter.,0.01313,0.68125,False,,,,,
CVE-2012-4002,6.8,MEDIUM,2012-10-09T23:55:04.830,Cross-site request forgery (CSRF) vulnerability in GLPI-PROJECT GLPI before 0.83.3 allows remote attackers to hijack the authentication of unspecified victims via unknown vectors.,0.01001,0.59742,False,,,,,
CVE-2012-4003,4.3,MEDIUM,2012-10-09T23:55:04.893,Multiple cross-site scripting (XSS) vulnerabilities in GLPI-PROJECT GLPI before 0.83.3 allow remote attackers to inject arbitrary web script or HTML via unknown vectors.,0.01822,0.76815,False,,,,,
CVE-2013-5696,6.8,MEDIUM,2013-09-23T03:49:27.943,"inc/central.class.php in GLPI before 0.84.2 does not attempt to make install/install.php unavailable after an installation is completed, which allows remote attackers to conduct cross-site request forgery (CSRF) attacks, and (1) perform a SQL injection via an Etape_4 action or (2) execute arbitrary PHP code via an update_1 action.",0.07855,0.94153,False,,,,,
CVE-2013-2226,7.5,HIGH,2014-05-14T19:55:08.403,"Multiple SQL injection vulnerabilities in GLPI before 0.83.9 allow remote attackers to execute arbitrary SQL commands via the (1) users_id_assign parameter to ajax/ticketassigninformation.php, (2) filename parameter to front/document.form.php, or (3) table parameter to ajax/comments.php.",0.02768,0.84997,False,,,,,
CVE-2013-2225,6.4,MEDIUM,2014-05-27T14:55:09.930,inc/ticket.class.php in GLPI 0.83.9 and earlier allows remote attackers to unserialize arbitrary PHP objects via the _predefined_fields parameter to front/ticket.form.php.,0.07563,0.93968,False,,,,,
CVE-2014-9258,6.5,MEDIUM,2014-12-19T15:59:17.017,SQL injection vulnerability in ajax/getDropdownValue.php in GLPI before 0.85.1 allows remote authenticated users to execute arbitrary SQL commands via the condition parameter.,0.03071,0.86452,False,,,,,
CVE-2014-5032,5.0,MEDIUM,2015-04-14T18:59:00.073,"GLPI before 0.84.7 does not properly restrict access to cost information, which allows remote attackers to obtain sensitive information via the cost criteria in the search bar.",0.02105,0.80079,False,,,,,
CVE-2014-8360,7.5,HIGH,2015-04-14T18:59:01.713,"Directory traversal vulnerability in inc/autoload.function.php in GLPI before 0.84.8 allows remote attackers to include and execute arbitrary local files via a .._ (dot dot underscore) in an item type to the getItemForItemtype, as demonstrated by the itemtype parameter in ajax/common.tabs.php.",0.02825,0.85318,False,,,,,
CVE-2015-7684,9.0,HIGH,2015-10-05T14:59:03.173,"Unrestricted file upload in GLPI before 0.85.3 allows remote authenticated users to execute arbitrary code by adding a file with an executable extension as an attachment to a new ticket, then accessing it via a direct request to the file in files/_tmp/.",0.04137,0.89924,False,,,,,
