cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2016-7419,5.4,MEDIUM,2016-09-17T21:59:11.777,Cross-site scripting (XSS) vulnerability in share.js in the gallery application in ownCloud Server before 9.0.4 and Nextcloud Server before 9.0.52 allows remote authenticated users to inject arbitrary web script or HTML via a crafted directory name.,0.01373,0.69509,False,,,,,
CVE-2016-9459,6.1,MEDIUM,2017-03-28T02:59:00.730,"Nextcloud Server before 9.0.52 & ownCloud Server before 9.0.4 are vulnerable to a log pollution vulnerability potentially leading to a local XSS. The download log functionality in the admin screen is delivering the log in JSON format to the end-user. The file was delivered with an attachment disposition forcing the browser to download the document. However, Firefox running on Microsoft Windows would offer the user to open the data in the browser as an HTML document. Thus any injected data in the log would be executed.",0.01493,0.71817,False,,,,,
CVE-2016-9460,5.3,MEDIUM,2017-03-28T02:59:00.793,Nextcloud Server before 9.0.52 & ownCloud Server before 9.0.4 are vulnerable to a content-spoofing attack in the files app. The location bar in the files app was not verifying the passed parameters. An attacker could craft an invalid link to a fake directory structure and use this to display an attacker-controlled error message to the user.,0.01681,0.74845,False,,,,,
CVE-2016-9461,4.3,MEDIUM,2017-03-28T02:59:00.840,Nextcloud Server before 9.0.52 & ownCloud Server before 9.0.4 are not properly verifying edit check permissions on WebDAV copy actions. The WebDAV endpoint was not properly checking the permission on a WebDAV COPY action. This allowed an authenticated attacker with access to a read-only share to put new files in there. It was not possible to modify existing files.,0.02,0.78957,False,,,,,
CVE-2016-9462,4.3,MEDIUM,2017-03-28T02:59:00.887,Nextcloud Server before 9.0.52 & ownCloud Server before 9.0.4 are not properly verifying restore privileges when restoring a file. The restore capability of Nextcloud/ownCloud was not verifying whether a user has only read-only access to a share. Thus a user with read-only access was able to restore old versions.,0.01874,0.77504,False,,,,,
CVE-2016-9463,8.1,HIGH,2017-03-28T02:59:00.933,"Nextcloud Server before 9.0.54 and 10.0.1 & ownCloud Server before 9.1.2, 9.0.6, and 8.2.9 suffer from SMB User Authentication Bypass. Nextcloud/ownCloud include an optional and not by default enabled SMB authentication component that allows authenticating users against an SMB server. This backend is implemented in a way that tries to connect to a SMB server and if that succeeded consider the user logged-in. The backend did not properly take into account SMB servers that have any kind of anonymous auth configured. This is the default on SMB servers nowadays and allows an unauthenticated attacker to gain access to an account without valid credentials. Note: The SMB backend is disabled by default and requires manual configuration in the Nextcloud/ownCloud config file. If you have not configured the SMB backend then you're not affected by this vulnerability.",0.04095,0.89824,False,,,,,
CVE-2016-9464,4.3,MEDIUM,2017-03-28T02:59:00.997,"Nextcloud Server before 9.0.54 and 10.0.0 suffers from an improper authorization check on removing shares. The Sharing Backend as implemented in Nextcloud does differentiate between shares to users and groups. In case of a received group share, users should be able to unshare the file to themselves but not to the whole group. The previous API implementation simply unshared the file to all users in the group.",0.01624,0.73968,False,,,,,
CVE-2016-9465,5.4,MEDIUM,2017-03-28T02:59:01.043,Nextcloud Server before 10.0.1 & ownCloud Server before 9.0.6 and 9.1.2 suffer from Stored XSS in CardDAV image export. The CardDAV image export functionality as implemented in Nextcloud/ownCloud allows the download of images stored within a vCard. Due to not performing any kind of verification on the image content this is prone to a stored Cross-Site Scripting attack.,0.01118,0.63221,False,,,,,
CVE-2016-9466,6.1,MEDIUM,2017-03-28T02:59:01.107,"Nextcloud Server before 10.0.1 & ownCloud Server before 9.0.6 and 9.1.2 suffer from Reflected XSS in the Gallery application. The gallery app was not properly sanitizing exception messages from the Nextcloud/ownCloud server. Due to an endpoint where an attacker could influence the error message, this led to a reflected Cross-Site-Scripting vulnerability.",0.01656,0.74469,False,,,,,
CVE-2016-9467,5.3,MEDIUM,2017-03-28T02:59:01.153,Nextcloud Server before 9.0.54 and 10.0.1 & ownCloud Server before 9.0.6 and 9.1.2 suffer from content spoofing in the files app. The location bar in the files app was not verifying the passed parameters. An attacker could craft an invalid link to a fake directory structure and use this to display an attacker-controlled error message to the user.,0.02972,0.86021,False,,,,,
CVE-2016-9468,5.3,MEDIUM,2017-03-28T02:59:01.200,Nextcloud Server before 9.0.54 and 10.0.1 & ownCloud Server before 9.0.6 and 9.1.2 suffer from content spoofing in the dav app. The exception message displayed on the DAV endpoints contained partially user-controllable input leading to a potential misrepresentation of information.,0.02077,0.79779,False,,,,,
CVE-2017-0883,6.4,MEDIUM,2017-04-05T20:59:00.197,Nextcloud Server before 9.0.55 and 10.0.2 suffers from a permission increase on re-sharing via OCS API issue. A permission related issue within the OCS sharing API allowed an authenticated adversary to reshare shared files with an increasing permission set. This may allow an attacker to edit files in a share despite having only a 'read' permission set. Note that this only affects folders and files that the adversary has at least read-only permissions for.,0.00593,0.45325,False,,,,,
CVE-2017-0884,4.3,MEDIUM,2017-04-05T20:59:00.243,Nextcloud Server before 9.0.55 and 10.0.2 suffers from a creation of folders in read-only folders despite lacking permissions issue. Due to a logical error in the file caching layer an authenticated adversary is able to create empty folders inside a shared folder. Note that this only affects folders and files that the adversary has at least read-only permissions for.,0.00666,0.48632,False,,,,,
CVE-2017-0885,4.3,MEDIUM,2017-04-05T20:59:00.273,Nextcloud Server before 9.0.55 and 10.0.2 suffers from a error message disclosing existence of file in write-only share. Due to an error in the application logic an adversary with access to a write-only share may enumerate the names of existing files and subfolders by comparing the exception messages.,0.00899,0.5647,False,,,,,
CVE-2017-0886,6.5,MEDIUM,2017-04-05T20:59:00.307,Nextcloud Server before 9.0.55 and 10.0.2 suffers from a Denial of Service attack. Due to an error in the application logic an authenticated adversary may trigger an endless recursion in the application leading to a potential Denial of Service.,0.0123,0.66225,False,,,,,
CVE-2017-0887,4.3,MEDIUM,2017-04-05T20:59:00.337,Nextcloud Server before 9.0.55 and 10.0.2 suffers from a bypass in the quota limitation. Due to not properly sanitizing values provided by the `OC-Total-Length` HTTP header an authenticated adversary may be able to exceed their configured user quota. Thus using more space than allowed by the administrator.,0.00888,0.56143,False,,,,,
CVE-2017-0888,4.3,MEDIUM,2017-04-05T20:59:00.367,"Nextcloud Server before 9.0.55 and 10.0.2 suffers from a Content-Spoofing vulnerability in the ""files"" app. The top navigation bar displayed in the files list contained partially user-controllable input leading to a potential misrepresentation of information.",0.01537,0.72613,False,,,,,
CVE-2017-0890,5.4,MEDIUM,2017-05-08T20:29:00.163,Nextcloud Server before 11.0.3 is vulnerable to an inadequate escaping leading to a XSS vulnerability in the search module. To be exploitable a user has to write or paste malicious content into the search dialogue.,0.00739,0.51364,False,,,,,
CVE-2017-0891,5.4,MEDIUM,2017-05-08T20:29:00.207,Nextcloud Server before 9.0.58 and 10.0.5 and 11.0.3 are vulnerable to an inadequate escaping of error messages leading to XSS vulnerabilities in multiple components.,0.00643,0.47624,False,,,,,
CVE-2017-0892,3.5,LOW,2017-05-08T20:29:00.257,Nextcloud Server before 11.0.3 is vulnerable to an improper session handling allowed an application specific password without permission to the files access to the users file.,0.00985,0.59244,False,,,,,
CVE-2017-0893,5.4,MEDIUM,2017-05-08T20:29:00.287,Nextcloud Server before 9.0.58 and 10.0.5 and 11.0.3 are shipping a vulnerable JavaScript library for sanitizing untrusted user-input which suffered from a XSS vulnerability caused by a behaviour change in Safari 10.1 and 10.2. Note that Nextcloud employs a strict Content-Security-Policy preventing exploitation of this XSS issue on modern web browsers.,0.00643,0.47625,False,,,,,
