cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2002-1211,7.5,HIGH,2002-11-12T05:00:00.000,"Prometheus 6.0 and earlier allows remote attackers to execute arbitrary PHP code via a modified PROMETHEUS_LIBRARY_BASE that points to code stored on a remote server, which is then used in (1) index.php, (2) install.php, or (3) various test_*.php scripts.",0.0284,0.85403,False,,,,,
CVE-2018-14602,7.5,HIGH,2018-07-27T02:29:00.297,"An issue was discovered in GitLab Community and Enterprise Edition before 10.8.7, 11.0.x before 11.0.5, and 11.1.x before 11.1.2. Information Disclosure can occur because the Prometheus metrics feature discloses private project pathnames.",0.01795,0.76452,False,,,,,
CVE-2018-18644,6.5,MEDIUM,2018-12-04T23:29:00.567,"An issue was discovered in GitLab Community and Enterprise Edition 11.x before 11.2.7, 11.3.x before 11.3.8, and 11.4.x before 11.4.3. It allows Information Exposure via a Gitlab Prometheus integration.",0.01157,0.64206,False,,,,,
CVE-2019-3826,6.1,MEDIUM,2019-03-26T18:29:00.623,"A stored, DOM based, cross-site scripting (XSS) flaw was found in Prometheus before version 2.7.1. An attacker could exploit this by convincing an authenticated user to visit a crafted URL on a Prometheus server, allowing for the execution and persistent storage of arbitrary scripts.",0.02736,0.84788,False,,,,,
CVE-2018-19495,6.5,MEDIUM,2019-07-10T15:15:11.993,"An issue was discovered in GitLab Community and Enterprise Edition before 11.3.11, 11.4.x before 11.4.8, and 11.5.x before 11.5.1. There is an SSRF vulnerability in the Prometheus integration.",0.00984,0.59228,False,,,,,
CVE-2018-1002104,5.3,MEDIUM,2020-01-14T21:15:16.350,"Versions < 1.5 of the Kubernetes ingress default backend, which handles invalid ingress traffic, exposed prometheus metrics publicly.",0.01138,0.63709,False,,,,,
CVE-2020-16248,5.8,MEDIUM,2020-08-09T17:15:11.703,Prometheus Blackbox Exporter through 0.17.0 allows /probe?target= SSRF. NOTE: follow-on discussion suggests that this might plausibly be interpreted as both intended functionality and also a vulnerability,0.02698,0.84581,False,,,,,
CVE-2021-22166,5.3,MEDIUM,2021-01-15T16:15:13.217,An attacker could cause a Prometheus denial of service in GitLab 13.7+ by sending an HTTP request with a malformed method,0.01377,0.69614,False,,,,,
CVE-2021-22178,5.0,MEDIUM,2021-03-24T17:15:13.820,An issue has been discovered in GitLab affecting all versions starting from 13.2. Gitlab was vulnerable to SRRF attack through the Prometheus integration.,0.01114,0.63113,False,,,,,
CVE-2021-29622,6.5,MEDIUM,2021-05-19T20:15:07.487,"Prometheus is an open-source monitoring system and time series database. In 2.23.0, Prometheus changed its default UI to the New ui. To ensure a seamless transition, the URL's prefixed by /new redirect to /. Due to a bug in the code, it is possible for an attacker to craft an URL that can redirect to any other URL, in the /new endpoint. If a user visits a prometheus server with a specially crafted address, they can be redirected to an arbitrary URL. The issue was patched in the 2.26.1 and 2.27.1 releases. In 2.28.0, the /new endpoint will be removed completely. The workaround is to disable access to /new via a reverse proxy in front of Prometheus.",0.1956,0.97135,False,,,,,
