cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-1999-0862,2.1,LOW,1999-12-02T05:00:00.000,Insecure directory permissions in RPM distribution for PostgreSQL allows local users to gain privileges by reading a plaintext password file.,0.00391,0.32054,False,,,,,
CVE-2001-0201,7.5,HIGH,2001-03-26T05:00:00.000,"The Postaci frontend for PostgreSQL does not properly filter characters such as semicolons, which could allow remote attackers to execute arbitrary SQL queries via the deletecontact.php program.",0.01752,0.7584,False,,,,,
CVE-2001-1379,7.5,HIGH,2001-08-29T04:00:00.000,"The PostgreSQL authentication modules (1) mod_auth_pgsql 0.9.5, and (2) mod_auth_pgsql_sys 0.9.4, allow remote attackers to bypass authentication and execute arbitrary SQL via a SQL injection attack on the user name.",0.01905,0.77876,False,,,,,
CVE-2000-1199,4.6,MEDIUM,2001-08-31T04:00:00.000,"PostgreSQL stores usernames and passwords in plaintext in (1) pg_shadow and (2) pg_pwd, which allows attackers with sufficient privileges to gain access to databases.",0.00912,0.56887,False,,,,,
CVE-2002-0802,7.5,HIGH,2002-08-12T04:00:00.000,"The multibyte support in PostgreSQL 6.5.x with SQL_ASCII encoding consumes an extra character when processing a character that cannot be converted, which could remove an escape character from the query and make the application subject to SQL injection attacks.",0.01085,0.62284,False,,,,,
CVE-2002-0972,4.6,MEDIUM,2002-09-24T04:00:00.000,Buffer overflows in PostgreSQL 7.2 allow attackers to cause a denial of service and possibly execute arbitrary code via long arguments to the functions (1) lpad or (2) rpad.,0.00493,0.39935,False,,,,,
CVE-2002-1642,7.2,HIGH,2002-10-03T04:00:00.000,PostgreSQL 7.2.1 and 7.2.2 allows local users to delete transaction log (pg_clog) data and cause a denial of service (data loss) via the VACUUM command.,0.00435,0.36059,False,,,,,
CVE-2002-1657,7.5,HIGH,2002-12-31T05:00:00.000,"PostgreSQL uses the username for a salt when generating passwords, which makes it easier for remote attackers to guess passwords via a brute force attack.",0.01272,0.67264,False,,,,,
CVE-2002-1397,7.5,HIGH,2003-01-17T05:00:00.000,"Vulnerability in the cash_words() function for PostgreSQL 7.2 and earlier allows local users to cause a denial of service and possibly execute arbitrary code via a large negative argument, possibly triggering an integer signedness error or buffer overflow.",0.02754,0.8491,False,,,,,
CVE-2002-1398,4.6,MEDIUM,2003-01-17T05:00:00.000,"Buffer overflow in the date parser for PostgreSQL before 7.2.2 allows attackers to cause a denial of service and possibly execute arbitrary code via a long date string, aka a vulnerability ""in handling long datetime input.""",0.00537,0.42523,False,,,,,
CVE-2002-1399,10.0,HIGH,2003-01-17T05:00:00.000,"Unknown vulnerability in cash_out and possibly other functions in PostgreSQL 7.2.1 and earlier, and possibly later versions before 7.2.3, with unknown impact, based on an invalid integer input which is processed as a different data type, as demonstrated using cash_out(2).",0.01791,0.76384,False,,,,,
CVE-2002-1400,7.5,HIGH,2003-01-17T05:00:00.000,Heap-based buffer overflow in the repeat() function for PostgreSQL before 7.2.2 allows attackers to execute arbitrary code by causing repeat() to generate a large string.,0.03937,0.89447,False,,,,,
CVE-2002-1401,6.5,MEDIUM,2003-01-17T05:00:00.000,"Buffer overflows in (1) circle_poly, (2) path_encode and (3) path_add (also incorrectly identified as path_addr) for PostgreSQL 7.2.3 and earlier allow attackers to cause a denial of service and possibly execute arbitrary code, possibly as a result of an integer overflow.",0.02192,0.80835,False,,,,,
CVE-2002-1402,4.6,MEDIUM,2003-01-17T05:00:00.000,Buffer overflows in the (1) TZ and (2) SET TIME ZONE enivronment variables for PostgreSQL 7.2.1 and earlier allow local users to cause a denial of service and possibly execute arbitrary code.,0.00479,0.39082,False,,,,,
CVE-2003-0040,7.5,HIGH,2003-02-19T05:00:00.000,SQL injection vulnerability in the PostgreSQL auth module for courier 0.40 and earlier allows remote attackers to execute SQL code via the user name.,0.0123,0.66224,False,,,,,
CVE-2003-0500,10.0,HIGH,2003-08-07T04:00:00.000,SQL injection vulnerability in the PostgreSQL authentication module (mod_sql_postgres) for ProFTPD before 1.2.9rc1 allows remote attackers to execute arbitrary SQL and gain privileges by bypassing authentication or stealing passwords via the USER name.,0.18266,0.96954,False,,,,,
CVE-2003-0515,7.5,HIGH,2003-08-18T04:00:00.000,SQL injection vulnerabilities in the (1) PostgreSQL or (2) MySQL authentication modules for teapop 0.3.5 and earlier allow attackers to execute arbitrary SQL and possibly gain privileges.,0.01031,0.60673,False,,,,,
CVE-2003-0901,7.5,HIGH,2003-11-03T05:00:00.000,"Buffer overflow in to_ascii for PostgreSQL 7.2.x, and 7.3.x before 7.3.4, allows remote attackers to execute arbitrary code.",0.04637,0.90892,False,,,,,
