cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2013-1069,2.1,LOW,2014-02-17T16:55:08.053,"Ubuntu Metal as a Service (MaaS) 1.2 and 1.4 uses world-readable permissions for txlongpoll.yaml, which allows local users to obtain RabbitMQ authentication credentials by reading the file.",0.00379,0.30905,False,,,,,
CVE-2015-0862,3.5,LOW,2015-01-18T18:59:01.583,"Multiple cross-site scripting (XSS) vulnerabilities in the management web UI in the RabbitMQ management plugin before 3.4.3 allow remote authenticated users to inject arbitrary web script or HTML via (1) message details when a message is unqueued, such as headers or arguments; (2) policy names, which are not properly handled when viewing policies; (3) details for AMQP network clients, such as the version; allow remote authenticated administrators to inject arbitrary web script or HTML via (4) user names, (5) the cluster name; or allow RabbitMQ cluster administrators to (6) modify unspecified content.",0.01152,0.64111,False,,,,,
CVE-2014-9494,5.0,MEDIUM,2015-01-20T15:59:08.233,RabbitMQ before 3.4.0 allows remote attackers to bypass the loopback_users restriction via a crafted X-Forwareded-For header.,0.01393,0.69912,False,,,,,
CVE-2014-9649,4.3,MEDIUM,2015-01-27T20:02:39.637,"Cross-site scripting (XSS) vulnerability in the management plugin in RabbitMQ 2.1.0 through 3.4.x before 3.4.1 allows remote attackers to inject arbitrary web script or HTML via the path info to api/, which is not properly handled in an error message.",0.02313,0.81865,False,,,,,
CVE-2014-9650,5.0,MEDIUM,2015-01-27T20:03:15.080,CRLF injection vulnerability in the management plugin in RabbitMQ 2.1.0 through 3.4.x before 3.4.1 allows remote attackers to inject arbitrary HTTP headers and conduct HTTP response splitting attacks via the download parameter to api/definitions.,0.02622,0.84095,False,,,,,
CVE-2014-9568,2.1,LOW,2015-02-03T16:59:07.470,"puppetlabs-rabbitmq 3.0 through 4.1 stores the RabbitMQ Erlang cookie value in the facts of a node, which allows local users to obtain sensitive information as demonstrated by using Facter.",0.00352,0.28068,False,,,,,
CVE-2015-6858,3.7,LOW,2016-01-05T11:59:04.427,HP Insight Control server provisioning before 7.5.0 RabbitMQ allows remote attackers to obtain sensitive information via unspecified vectors.,0.02526,0.83445,False,,,,,
CVE-2015-5329,7.3,HIGH,2016-04-11T21:59:05.100,"The TripleO Heat templates (tripleo-heat-templates), as used in Red Hat Enterprise Linux OpenStack Platform 7.0, do not properly use the configured RabbitMQ credentials, which makes it easier for remote attackers to obtain access to services in deployed overclouds by leveraging knowledge of the default credentials.",0.01517,0.72269,False,,,,,
CVE-2016-0929,7.5,HIGH,2016-09-18T02:59:09.980,"The metrics-collection component in RabbitMQ for Pivotal Cloud Foundry (PCF) 1.6.x before 1.6.4 logs command lines of failed commands, which might allow context-dependent attackers to obtain sensitive information by reading the log data, as demonstrated by a syslog message that contains credentials from a command line.",0.01119,0.63246,False,,,,,
CVE-2015-8786,6.5,MEDIUM,2016-12-09T20:59:00.157,The Management plugin in RabbitMQ before 3.6.1 allows remote authenticated users with certain privileges to cause a denial of service (resource consumption) via the (1) lengths_age or (2) lengths_incr parameter.,0.03505,0.88128,False,,,,,
