cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2002-1959,10.0,HIGH,2002-12-31T05:00:00.000,Nagios 1.0b1 through 1.0b3 allows remote attackers to execute arbitrary commands via shell metacharacters in plugin output.,0.03884,0.89284,False,,,,,
CVE-2006-2162,5.0,MEDIUM,2006-05-03T21:02:00.000,Buffer overflow in CGI scripts in Nagios 1.x before 1.4 and 2.x before 2.3 allows remote attackers to execute arbitrary code via a negative content length (Content-Length) HTTP header.,0.04728,0.91038,False,,,,,
CVE-2006-2489,7.5,HIGH,2006-05-19T23:02:00.000,Integer overflow in CGI scripts in Nagios 1.x before 1.4.1 and 2.x before 2.3.1 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a content length (Content-Length) HTTP header.  NOTE: this is a different vulnerability than CVE-2006-2162.,0.05431,0.91993,False,,,,,
CVE-2007-2709,7.5,HIGH,2007-05-16T10:19:00.000,PHP remote file inclusion vulnerability in functions/prepend_adm.php in NagiosQL 2005 2.00 allows remote attackers to execute arbitrary PHP code via a URL in the SETS[path][physical] parameter.,0.03163,0.86835,False,,,,,
CVE-2007-2710,7.5,HIGH,2007-05-16T10:19:00.000,PHP remote file inclusion vulnerability in functions/prepend_adm.php in NagiosQL 2.00-P00 and earlier allows remote attackers to execute arbitrary PHP code via a URL in the SETS[path][IT] parameter.  NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.,0.02273,0.81513,False,,,,,
CVE-2007-5198,6.8,MEDIUM,2007-10-04T17:17:00.000,"Buffer overflow in the redir function in check_http.c in Nagios Plugins before 1.4.10, when running with the -f (follow) option, allows remote web servers to execute arbitrary code via Location header responses (redirects) with a large number of leading ""L"" characters.",0.08017,0.94244,False,,,,,
CVE-2007-5623,5.0,MEDIUM,2007-10-23T16:46:00.000,Buffer overflow in the check_snmp function in Nagios Plugins (nagios-plugins) 1.4.10 allows remote attackers to cause a denial of service (crash) via crafted snmpget replies.,0.02774,0.85049,False,,,,,
CVE-2007-5624,4.3,MEDIUM,2007-10-23T16:46:00.000,Cross-site scripting (XSS) vulnerability in Nagios 2.x before 2.10 allows remote attackers to inject arbitrary web script or HTML via unknown vectors to unspecified CGI scripts.,0.02001,0.78962,False,,,,,
CVE-2008-1360,4.3,MEDIUM,2008-03-17T17:44:00.000,"Cross-site scripting (XSS) vulnerability in Nagios before 2.11 allows remote attackers to inject arbitrary web script or HTML via unknown vectors to unspecified CGI scripts, a different issue than CVE-2007-5624.",0.02469,0.83048,False,,,,,
CVE-2007-5803,4.3,MEDIUM,2008-05-13T23:20:00.000,"Multiple cross-site scripting (XSS) vulnerabilities in CGI programs in Nagios before 2.12 might allow remote attackers to inject arbitrary web script or HTML via unspecified vectors, a different issue than CVE-2007-5624 and CVE-2008-1360.",0.01774,0.76178,False,,,,,
CVE-2008-5027,6.5,MEDIUM,2008-11-10T15:23:29.533,"The Nagios process in (1) Nagios before 3.0.5 and (2) op5 Monitor before 4.0.1 allows remote authenticated users to bypass authorization checks, and trigger execution of arbitrary programs by this process, via an (a) custom form or a (b) browser addon.",0.06738,0.93344,False,,,,,
CVE-2008-5028,6.8,MEDIUM,2008-11-10T15:23:29.563,"Cross-site request forgery (CSRF) vulnerability in cmd.cgi in (1) Nagios 3.0.5 and (2) op5 Monitor before 4.0.1 allows remote attackers to send commands to the Nagios process, and trigger execution of arbitrary programs by this process, via unspecified HTTP requests.",0.0168,0.74833,False,,,,,
CVE-2008-6373,5.0,MEDIUM,2009-03-02T19:30:00.360,"Unspecified vulnerability in Nagios before 3.0.6 has unspecified impact and remote attack vectors related to CGI programs, ""adaptive external commands,"" and ""writing newlines and submitting service comments.""",0.04692,0.90979,False,,,,,
CVE-2009-2288,7.5,HIGH,2009-07-01T13:00:01.827,statuswml.cgi in Nagios before 3.1.1 allows remote attackers to execute arbitrary commands via shell metacharacters in the (1) ping or (2) Traceroute parameters.,0.83453,0.99658,False,,,,,
CVE-2010-3616,5.0,MEDIUM,2010-12-17T19:00:20.137,"ISC DHCP server 4.2 before 4.2.0-P2, when configured to use failover partnerships, allows remote attackers to cause a denial of service (communications-interrupted state and DHCP client service loss) by connecting to a port that is only intended for a failover peer, as demonstrated by a Nagios check_tcp process check to TCP port 520.",0.07946,0.94211,False,,,,,
CVE-2011-1523,4.3,MEDIUM,2011-05-03T19:55:10.247,Cross-site scripting (XSS) vulnerability in statusmap.c in statusmap.cgi in Nagios 3.2.3 and earlier allows remote attackers to inject arbitrary web script or HTML via the layer parameter.,0.0293,0.85841,False,,,,,
CVE-2011-2179,4.3,MEDIUM,2011-06-14T17:55:06.437,"Multiple cross-site scripting (XSS) vulnerabilities in config.c in config.cgi in (1) Nagios 3.2.3 and (2) Icinga before 1.4.1 allow remote attackers to inject arbitrary web script or HTML via the expand parameter, as demonstrated by an (a) command action or a (b) hosts action.",0.26037,0.97799,False,,,,,
