cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2005-0876,5.0,MEDIUM,2005-05-02T04:00:00.000,Off-by-one buffer overflow in Dnsmasq before 2.21 may allow attackers to execute arbitrary code via the DHCP lease file.,0.02605,0.83989,False,,,,,
CVE-2005-0877,7.5,HIGH,2005-05-02T04:00:00.000,Dnsmasq before 2.21 allows remote attackers to poison the DNS cache via answers to queries that were not made by Dnsmasq.,0.01874,0.77506,False,,,,,
CVE-2006-2017,5.0,MEDIUM,2006-04-25T12:50:00.000,Dnsmasq 2.29 allows remote attackers to cause a denial of service (application crash) via a DHCP client broadcast reply request.,0.01796,0.76455,False,,,,,
CVE-2008-3214,7.8,HIGH,2008-07-18T16:41:00.000,"dnsmasq 2.25 allows remote attackers to cause a denial of service (daemon crash) by (1) renewing a nonexistent lease or (2) sending a DHCPREQUEST for an IP address that is not in the same network, related to the DHCP NAK response from the daemon.",0.02525,0.83441,False,,,,,
CVE-2008-3350,5.0,MEDIUM,2008-07-28T17:41:00.000,"dnsmasq 2.43 allows remote attackers to cause a denial of service (daemon crash) by (1) sending a DHCPINFORM while lacking a DHCP lease, or (2) attempting to renew a nonexistent DHCP lease for an invalid subnet as an ""unknown client,"" a different vulnerability than CVE-2008-3214.",0.0169,0.74991,False,,,,,
CVE-2009-2957,6.8,MEDIUM,2009-09-02T15:30:01.407,"Heap-based buffer overflow in the tftp_request function in tftp.c in dnsmasq before 2.50, when --enable-tftp is used, might allow remote attackers to execute arbitrary code via a long filename in a TFTP packet, as demonstrated by a read (aka RRQ) request.",0.12684,0.95899,False,,,,,
CVE-2009-2958,4.3,MEDIUM,2009-09-02T15:30:01.467,"The tftp_request function in tftp.c in dnsmasq before 2.50, when --enable-tftp is used, allows remote attackers to cause a denial of service (NULL pointer dereference and daemon crash) via a TFTP read (aka RRQ) request with a malformed blksize option.",0.10382,0.95307,False,,,,,
CVE-2012-3411,5.0,MEDIUM,2013-03-05T21:38:54.753,"Dnsmasq before 2.63test1, when used with certain libvirt configurations, replies to requests from prohibited interfaces, which allows remote attackers to cause a denial of service (traffic amplification) via a spoofed DNS query.",0.05028,0.91495,False,,,,,
CVE-2013-0198,5.0,MEDIUM,2013-03-05T21:38:54.827,"Dnsmasq before 2.66test2, when used with certain libvirt configurations, replies to queries from prohibited interfaces, which allows remote attackers to cause a denial of service (traffic amplification) via spoofed TCP based DNS queries.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2012-3411.",0.02795,0.85155,False,,,,,
CVE-2015-3294,6.4,MEDIUM,2015-05-08T14:59:05.527,"The tcp_request function in Dnsmasq before 2.73rc4 does not properly handle the return value of the setup_reply function, which allows remote attackers to read process memory and cause a denial of service (out-of-bounds read and crash) via a malformed DNS request.",0.04456,0.90566,False,,,,,
CVE-2016-2332,8.8,HIGH,2016-04-25T18:59:03.230,flu.cgi in the web interface on SysLINK SL-1000 Machine-to-Machine (M2M) Modular Gateway devices with firmware before 01A.8 allows remote authenticated users to execute arbitrary commands via the 5066 (aka dnsmasq) parameter.,0.02767,0.84993,False,,,,,
CVE-2015-8899,7.5,HIGH,2016-06-30T17:59:00.157,Dnsmasq before 2.76 allows remote servers to cause a denial of service (crash) via a reply with an empty DNS address that has an (1) A or (2) AAAA record defined locally.,0.02415,0.82655,False,,,,,
CVE-2017-13704,7.5,HIGH,2017-10-03T01:29:01.637,"In dnsmasq before 2.78, if the DNS packet size does not match the expected size, the size parameter in a memset call gets a negative value. As it is an unsigned value, memset ends up writing up to 0xffffffff zero's (0xffffffffffffffff in 64 bit platforms), making dnsmasq crash.",0.6541,0.9919,False,,,,,
CVE-2017-14492,9.8,CRITICAL,2017-10-03T01:29:02.027,Heap-based buffer overflow in dnsmasq before 2.78 allows remote attackers to cause a denial of service (crash) or execute arbitrary code via a crafted IPv6 router advertisement request.,0.93307,0.99828,False,,,,,
