cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2008-4946,6.9,MEDIUM,2008-11-05T15:00:15.087,"convirt 0.8.2 allows local users to overwrite arbitrary files via a symlink attack on the /tmp/set_output temporary file, related to the (1) _template_/provision.sh, (2) Linux_CD_Install/provision.sh, (3) Fedora_PV_Install/provision.sh, (4) CentOS_PV_Install/provision.sh, (5) common/provision.sh, (6) example/provision.sh, and (7) Windows_CD_Install/provision.sh scripts in image_store/.",0.00406,0.33694,False,,,,,
CVE-2016-5425,7.8,HIGH,2016-10-13T14:59:07.517,"The Tomcat package on Red Hat Enterprise Linux (RHEL) 7, Fedora, CentOS, Oracle Linux, and possibly other Linux distributions uses weak permissions for /usr/lib/tmpfiles.d/tomcat.conf, which allows local users to gain root privileges by leveraging membership in the tomcat group.",0.03782,0.88982,False,,,,,
CVE-2017-5972,7.5,HIGH,2017-02-14T06:59:00.277,"The TCP stack in the Linux kernel 3.x does not properly implement a SYN cookie protection mechanism for the case of a fast network connection, which allows remote attackers to cause a denial of service (CPU consumption) by sending many TCP SYN packets, as demonstrated by an attack against the kernel-3.10.0 package in CentOS Linux 7. NOTE: third parties have been unable to discern any relationship between the GitHub Engineering finding and the Trigemini.c attack code.",0.2389,0.97626,False,,,,,
CVE-2018-5961,6.1,MEDIUM,2018-01-22T01:29:00.257,CentOS-WebPanel.com (aka CWP) CentOS Web Panel through v0.9.8.12 has XSS via the `module` value of the `index.php` file.,0.0263,0.84147,False,,,,,
CVE-2018-5962,6.1,MEDIUM,2018-01-22T01:29:00.307,index.php in CentOS-WebPanel.com (aka CWP) CentOS Web Panel through v0.9.8.12 has XSS via the id parameter to the phpini_editor module or the email_address parameter to the mail_add-new module.,0.0263,0.84147,False,,,,,
CVE-2018-6926,7.2,HIGH,2018-02-12T17:29:00.323,"In app/Controller/ServersController.php in MISP 2.4.87, a server setting permitted the override of a path variable on certain Red Hed Enterprise Linux and CentOS systems (where rh_shell_fix was enabled), and consequently allowed site admins to inject arbitrary OS commands. The impact is limited by the setting being only accessible to the site administrator.",0.01637,0.74182,False,,,,,
CVE-2018-17977,4.4,MEDIUM,2018-10-08T17:29:00.653,"The Linux kernel 4.14.67 mishandles certain interaction among XFRM Netlink messages, IPPROTO_AH packets, and IPPROTO_IP packets, which allows local users to cause a denial of service (memory consumption and system hang) by leveraging root access to execute crafted applications, as demonstrated on CentOS 7.",0.00379,0.30918,False,,,,,
CVE-2018-18322,9.8,CRITICAL,2018-10-15T07:29:00.640,"CentOS-WebPanel.com (aka CWP) CentOS Web Panel 0.9.8.480 has Command Injection via shell metacharacters in the admin/index.php service_start, service_restart, service_fullstatus, or service_stop parameter.",0.15141,0.96431,False,,,,,
CVE-2018-18323,7.5,HIGH,2018-10-15T07:29:00.797,CentOS-WebPanel.com (aka CWP) CentOS Web Panel 0.9.8.480 has Local File Inclusion via directory traversal with an admin/index.php?module=file_editor&file=/../ URI.,0.70736,0.99339,False,,,,,
CVE-2018-18324,6.1,MEDIUM,2018-10-15T07:29:01.060,"CentOS-WebPanel.com (aka CWP) CentOS Web Panel 0.9.8.480 has XSS via the admin/fileManager2.php fm_current_dir parameter, or the admin/index.php module, service_start, service_fullstatus, service_restart, service_stop, or file (within the file_editor) parameter.",0.03207,0.87022,False,,,,,
CVE-2018-18772,8.8,HIGH,2018-11-20T19:29:01.230,"CentOS-WebPanel.com (aka CWP) CentOS Web Panel through 0.9.8.740 allows CSRF via admin/index.php?module=send_ssh, as demonstrated by executing an arbitrary OS command.",0.0348,0.88047,False,,,,,
CVE-2018-18773,8.8,HIGH,2018-11-20T19:29:01.307,"CentOS-WebPanel.com (aka CWP) CentOS Web Panel through 0.9.8.740 allows CSRF via admin/index.php?module=rootpwd, as demonstrated by changing the root password.",0.03409,0.87798,False,,,,,
